team,rpi,year 
Denver,0.3494,2007
Northern Colorado,0.3417,2007
Tennessee,0.6759,2008
North Carolina,0.6758,2008
Memphis,0.6644,2008
UCLA,0.6532,2008
Kansas,0.651,2008
Texas,0.6497,2008
Duke,0.6474,2008
Georgetown,0.6424,2008
Xavier,0.6344,2008
Drake,0.6283,2008
Wisconsin,0.6282,2008
Vanderbilt,0.6245,2008
Louisville,0.6223,2008
Stanford,0.6171,2008
Pittsburgh,0.616,2008
Michigan St,0.6145,2008
Butler,0.612,2008
Connecticut,0.6106,2008
Clemson,0.609,2008
Marquette,0.6056,2008
Kent St,0.605,2008
Indiana,0.6028,2008
Washington St,0.602,2008
UNLV,0.6019,2008
BYU,0.6018,2008
Notre Dame,0.5985,2008
Oklahoma,0.5941,2008
Southern California,0.593,2008
West Virginia,0.5924,2008
Gonzaga,0.5923,2008
Arkansas,0.5918,2008
Dayton,0.5906,2008
Illinois St,0.5894,2008
Miami (FL),0.5884,2008
Davidson,0.5875,2008
St. Mary's,0.587,2008
Arizona,0.5867,2008
South Alabama,0.5867,2008
Western Kentucky,0.5823,2008
Mississippi St,0.5819,2008
School,RPI,2008
Texas A&M,0.5808,2008
Massachusetts,0.5786,2008
Baylor,0.5784,2008
Saint Joseph's,0.5779,2008
Purdue,0.5774,2008
Creighton,0.5754,2008
Temple,0.575,2008
Mississippi,0.5749,2008
Ohio State,0.5732,2008
Kansas St,0.5728,2008
Villanova,0.5725,2008
Virginia Tech,0.5714,2008
Oral Roberts,0.5712,2008
VCU,0.5708,2008
Syracuse,0.5702,2008
UAB,0.5692,2008
Kentucky,0.5674,2008
Oregon,0.5663,2008
New Mexico,0.565,2008
Florida St,0.5647,2008
George Mason,0.5642,2008
Southern Illinois,0.5639,2008
Cleveland St,0.5599,2008
Stephen F. Austin,0.5583,2008
Cornell,0.5583,2008
Siena,0.5571,2008
Georgia Tech,0.5566,2008
Charlotte,0.555,2008
IUPUI,0.5545,2008
Utah St,0.5545,2008
Florida,0.5541,2008
Miami (OH),0.5535,2008
Nevada,0.5535,2008
Texas Tech,0.5532,2008
Akron,0.5529,2008
Ohio,0.5526,2008
Rhode Island,0.5524,2008
Oklahoma St,0.5523,2008
Belmont,0.5517,2008
CS Fullerton,0.5515,2008
School,RPI,2008
Houston,0.551,2008
San Diego St,0.5509,2008
Arizona St,0.5496,2008
Austin Peay,0.5494,2008
Maryland,0.5488,2008
Wright St,0.5481,2008
Boise St,0.547,2008
UMBC,0.5462,2008
UC Santa Barbara,0.5459,2008
Portland St,0.5452,2008
American,0.5441,2008
California,0.5428,2008
Tulsa,0.5419,2008
San Diego,0.5414,2008
Utah,0.5413,2008
Nebraska,0.5389,2008
Valparaiso,0.5387,2008
Georgia,0.5385,2008
Sam Houston,0.5382,2008
Wake Forest,0.5374,2008
Minnesota,0.5372,2008
UTEP,0.5359,2008
North Carolina St,0.5353,2008
Illinois,0.5345,2008
Bradley,0.5335,2008
Brown,0.5326,2008
Southern Miss,0.5313,2008
Winthrop,0.531,2008
Rider,0.5309,2008
Middle Tenn St,0.5309,2008
CS Northridge,0.5308,2008
Providence,0.5305,2008
Seton Hall,0.53,2008
Alabama,0.5298,2008
Marist,0.529,2008
Niagara,0.5286,2008
Missouri,0.5279,2008
Cincinnati,0.5273,2008
Western Michigan,0.5271,2008
Richmond,0.5255,2008
School,RPI,2008
Washington,0.5251,2008
Wagner,0.5246,2008
Missouri St,0.5245,2008
New Mexico St,0.5235,2008
UNC Greensboro,0.5233,2008
UNC Wilmington,0.5232,2008
Virginia,0.523,2008
Indiana St,0.5227,2008
Old Dominion,0.5221,2008
Duquesne,0.522,2008
Northern Iowa,0.522,2008
Georgia So,0.5219,2008
Boston College,0.5217,2008
Morgan St,0.5211,2008
Robert Morris,0.521,2008
UIC,0.5199,2008
Saint Louis,0.5198,2008
South Carolina,0.5191,2008
Northern Arizona,0.5183,2008
Pacific,0.5179,2008
Loyola (Maryland),0.5167,2008
North Texas,0.5166,2008
UNC Asheville,0.5156,2008
Marshall,0.5152,2008
East Tenn St,0.5152,2008
Chattanooga,0.5151,2008
UT Arlington,0.5127,2008
UW Green Bay,0.511,2008
Holy Cross,0.5107,2008
Hampton,0.5088,2008
Lamar,0.5085,2008
UC Irvine,0.5075,2008
Auburn,0.507,2008
Appalachian St,0.5069,2008
William & Mary,0.5065,2008
St. John's,0.5061,2008
Penn State,0.5061,2008
DePaul,0.5055,2008
Mt St. Mary's,0.5048,2008
Tulane,0.5042,2008
School,RPI,2008
Colorado,0.5034,2008
UCF,0.5029,2008
La Salle,0.5026,2008
Jacksonville,0.5023,2008
Sacred Heart,0.5001,2008
New Orleans,0.5,2008
Air Force,0.4978,2008
Fordham,0.4974,2008
Oakland,0.4973,2008
Northeastern,0.4965,2008
Colgate,0.4965,2008
UA Little Rock,0.4964,2008
Michigan,0.4963,2008
LSU,0.4955,2008
Lafayette,0.4953,2008
Fairfield,0.495,2008
Hartford,0.4936,2008
UW Milwaukee,0.4934,2008
South Florida,0.493,2008
Iowa State,0.493,2008
Delaware,0.4929,2008
UL Lafayette,0.4928,2008
Yale,0.4896,2008
Central Michigan,0.4893,2008
George Washington,0.4848,2008
Santa Clara,0.483,2008
Toledo,0.4821,2008
Murray St,0.4798,2008
Quinnipiac,0.4793,2008
Northwestern St,0.4789,2008
Vermont,0.4787,2008
Iowa,0.4787,2008
Weber St,0.4785,2008
North Dakota St,0.4778,2008
Wofford,0.4774,2008
Coll of Charleston,0.4766,2008
SE Louisiana,0.4763,2008
TCU,0.4758,2008
Wichita St,0.4757,2008
Gardner Webb,0.4744,2008
School,RPI,2008
Bowling Green,0.4741,2008
Long Island,0.4738,2008
Bucknell,0.4732,2008
Pepperdine,0.4729,2008
Alabama St,0.4727,2008
Albany,0.4724,2008
Delaware St,0.472,2008
Central Connecticut,0.4714,2008
UT Martin,0.4706,2008
Elon,0.4693,2008
Rutgers,0.4692,2008
Army,0.4686,2008
Chicago St,0.4683,2008
Navy,0.4673,2008
James Madison,0.4666,2008
Cal Poly,0.4665,2008
Tennessee St,0.4662,2008
IPFW,0.4662,2008
Wyoming,0.4648,2008
Columbia,0.4646,2008
UT San Antonio,0.4638,2008
Loyola (Chicago),0.4635,2008
Miss Valley St,0.4633,2008
Northwestern,0.4633,2008
Iona,0.4631,2008
Lipscomb,0.463,2008
Youngstown St,0.4628,2008
Coppin St,0.4622,2008
Montana,0.4621,2008
McNeese St,0.4612,2008
High Point,0.4606,2008
Morehead St,0.4605,2008
Florida Atlantic,0.4604,2008
North Carolina A&T,0.4602,2008
Towson,0.46,2008
Montana St,0.4595,2008
Eastern Michigan,0.4591,2008
San Jose St,0.459,2008
Southern Utah,0.4581,2008
Boston U,0.458,2008
School,RPI,2008
Drexel,0.4577,2008
Hofstra,0.4565,2008
Fresno St,0.4561,2008
Troy,0.4561,2008
Lehigh,0.456,2008
Utah Valley St,0.4547,2008
Binghamton,0.4541,2008
Nicholls St,0.4528,2008
Texas St,0.4516,2008
Florida A&M,0.4492,2008
Evansville,0.4481,2008
UL Monroe,0.4479,2008
Eastern Kentucky,0.4473,2008
Savannah St,0.4472,2008
East Carolina,0.4463,2008
Liberty,0.4454,2008
Stetson,0.4454,2008
Idaho St,0.4448,2008
Norfolk St,0.4445,2008
Texas A&M CC,0.4439,2008
Pennsylvania,0.4437,2008
Samford,0.4427,2008
Florida Intl,0.4423,2008
St. Bonaventure,0.4423,2008
Colorado St,0.4399,2008
SMU,0.4385,2008
Western Illinois,0.4375,2008
Buffalo,0.4372,2008
Oregon St,0.4367,2008
Jackson St,0.4364,2008
Hawai'i,0.4362,2008
Denver,0.4361,2008
San Francisco,0.4358,2008
Manhattan,0.435,2008
VMI,0.434,2008
Coastal Carolina,0.4327,2008
Northern Colorado,0.4322,2008
UT Pan American,0.4315,2008
NCCU,0.4314,2008
Tennessee Tech,0.4306,2008
School,RPI,2008
Central Arkansas,0.4305,2008
Fairleigh Dickinson,0.4287,2008
Georgia St,0.4286,2008
Centenary,0.4286,2008
South Carolina St,0.4278,2008
Eastern Washington,0.4271,2008
Detroit,0.4265,2008
UMKC,0.425,2008
UC Riverside,0.4246,2008
Arkansas St,0.424,2008
Florida Gulf Coast,0.4227,2008
SE Missouri St,0.4198,2008
Western Carolina,0.4196,2008
Alabama A&M,0.4196,2008
Monmouth,0.4195,2008
Northern Illinois,0.419,2008
Ball State,0.4184,2008
Portland,0.4163,2008
Idaho,0.4154,2008
Dartmouth,0.415,2008
Southern U,0.4144,2008
Rice,0.4123,2008
UC Davis,0.4113,2008
Furman,0.4111,2008
New Hampshire,0.4094,2008
SC Upstate,0.4091,2008
Harvard,0.4091,2008
Loyola Marymount,0.4071,2008
Radford,0.4063,2008
UA Pine Bluff,0.4055,2008
Campbell,0.4031,2008
Winston Salem St,0.4024,2008
St. Francis (NY),0.4018,2008
St. Francis (PA),0.4006,2008
St. Peter's,0.4001,2008
Mercer,0.4001,2008
CS Bakersfield,0.3991,2008
Canisius,0.3975,2008
Bethune Cookman,0.3946,2008
Texas Southern,0.3938,2008
School,RPI,2008
Prairie View A&M,0.3931,2008
Longwood,0.3914,2008
Long Beach,0.391,2008
Kennesaw St,0.39,2008
Stony Brook,0.3894,2008
Charleston Southern,0.3881,2008
Maine,0.3877,2008
Grambling St,0.3875,2008
Louisiana Tech,0.3867,2008
South Dakota St,0.3865,2008
Princeton,0.3834,2008
Howard,0.3825,2008
Presbyterian,0.3805,2008
The Citadel,0.3701,2008
Sacramento St,0.3642,2008
Alcorn St,0.3621,2008
Eastern Illinois,0.3619,2008
UM Eastern Shore,0.3531,2008
Jacksonville St,0.3528,2008
North Florida,0.3458,2008
NJIT,0.3259,2008
Duke,0.6677,2009
Pittsburgh,0.667,2009
North Carolina,0.6531,2009
Louisville,0.6463,2009
Oklahoma,0.6459,2009
Michigan St,0.6449,2009
Memphis,0.644,2009
Connecticut,0.6432,2009
Utah,0.632,2009
Missouri,0.631,2009
Kansas,0.6296,2009
Syracuse,0.6252,2009
Villanova,0.6244,2009
Washington,0.6213,2009
Florida St,0.6201,2009
Wake Forest,0.6184,2009
Xavier,0.6174,2009
Siena,0.6122,2009
Oklahoma St,0.611,2009
Purdue,0.6109,2009
West Virginia,0.6106,2009
Illinois,0.6101,2009
Utah St,0.609,2009
Butler,0.6084,2009
Tennessee,0.6082,2009
Gonzaga,0.6041,2009
Dayton,0.6037,2009
Clemson,0.6032,2009
BYU,0.6028,2009
Temple,0.601,2009
Arizona St,0.6005,2009
Ohio State,0.6002,2009
UCLA,0.5991,2009
San Diego St,0.5975,2009
Marquette,0.5974,2009
Texas A&M,0.5927,2009
LSU,0.5922,2009
Southern California,0.5908,2009
California,0.5904,2009
Creighton,0.59,2009
School,RPI,2009
Texas,0.5899,2009
Minnesota,0.5882,2009
Western Kentucky,0.586,2009
Michigan,0.585,2009
Wisconsin,0.584,2009
UAB,0.5812,2009
Illinois St,0.5803,2009
St. Mary's,0.5799,2009
Niagara,0.5789,2009
VCU,0.5783,2009
George Mason,0.5758,2009
Cleveland St,0.5751,2009
Tulsa,0.575,2009
Florida,0.5748,2009
Maryland,0.5745,2009
Baylor,0.5727,2009
Georgetown,0.572,2009
South Carolina,0.5719,2009
Northern Iowa,0.5714,2009
Boston College,0.5711,2009
Virginia Tech,0.57,2009
Arizona,0.5691,2009
Mississippi St,0.5691,2009
Auburn,0.5686,2009
Miami (FL),0.5674,2009
New Mexico,0.5655,2009
UNLV,0.5652,2009
Rhode Island,0.5639,2009
Davidson,0.5617,2009
Penn State,0.5614,2009
UW Green Bay,0.558,2009
Providence,0.5576,2009
American,0.557,2009
Stephen F. Austin,0.5568,2009
Duquesne,0.5565,2009
Nebraska,0.5551,2009
Notre Dame,0.5539,2009
Northwestern,0.5537,2009
Kentucky,0.5524,2009
Miami (OH),0.5495,2009
School,RPI,2009
Kansas St,0.5494,2009
Mississippi,0.549,2009
Nevada,0.5486,2009
Cincinnati,0.5479,2009
UTEP,0.5476,2009
Houston,0.5474,2009
North Dakota St,0.5462,2009
Binghamton,0.5442,2009
Buffalo,0.5409,2009
Northeastern,0.5409,2009
UA Little Rock,0.5403,2009
Washington St,0.54,2009
Wright St,0.5395,2009
Fairfield,0.5392,2009
Vanderbilt,0.5391,2009
Evansville,0.5391,2009
Vermont,0.5379,2009
Bradley,0.5374,2009
Akron,0.5367,2009
Wyoming,0.5359,2009
Seton Hall,0.5355,2009
Coll of Charleston,0.5342,2009
Old Dominion,0.5335,2009
Hofstra,0.5333,2009
Saint Joseph's,0.5328,2009
Stanford,0.5325,2009
Weber St,0.5309,2009
Alabama,0.5298,2009
Robert Morris,0.5297,2009
Boise St,0.5292,2009
North Carolina St,0.5281,2009
La Salle,0.5263,2009
Portland St,0.5259,2009
Virginia,0.5256,2009
Cornell,0.5251,2009
East Tenn St,0.5246,2009
New Mexico St,0.5245,2009
Mt St. Mary's,0.5233,2009
Texas Tech,0.5228,2009
Portland,0.5219,2009
School,RPI,2009
Iowa,0.521,2009
Oakland,0.5206,2009
Saint Louis,0.5196,2009
Belmont,0.5184,2009
Rider,0.5183,2009
North Texas,0.5175,2009
CS Northridge,0.5175,2009
VMI,0.5169,2009
Richmond,0.5169,2009
Morgan St,0.5164,2009
Troy,0.5146,2009
Radford,0.5145,2009
Drexel,0.5145,2009
UW Milwaukee,0.5138,2009
Idaho,0.5134,2009
Texas A&M CC,0.5126,2009
Kent St,0.5112,2009
James Madison,0.5111,2009
Georgia Tech,0.511,2009
UT Martin,0.5094,2009
Morehead St,0.5093,2009
Oral Roberts,0.5084,2009
Austin Peay,0.5083,2009
Jacksonville,0.5083,2009
South Alabama,0.5067,2009
Southern Illinois,0.5067,2009
Pacific,0.5066,2009
Murray St,0.5065,2009
Arkansas,0.5062,2009
St. John's,0.5061,2009
Liberty,0.5048,2009
Massachusetts,0.5044,2009
Sam Houston,0.5041,2009
Oregon St,0.5027,2009
Southern Miss,0.5026,2009
Long Beach,0.5026,2009
Bowling Green,0.5025,2009
Wichita St,0.5025,2009
Nicholls St,0.5021,2009
Manhattan,0.5019,2009
School,RPI,2009
Boston U,0.5016,2009
UMBC,0.4998,2009
Drake,0.4996,2009
TCU,0.4993,2009
UCF,0.4993,2009
UIC,0.4986,2009
Iowa State,0.4979,2009
Navy,0.4973,2009
Holy Cross,0.4972,2009
Middle Tenn St,0.497,2009
Marshall,0.4965,2009
Wofford,0.4952,2009
Eastern Kentucky,0.4943,2009
Chattanooga,0.4933,2009
The Citadel,0.4933,2009
Louisiana Tech,0.4927,2009
UC Santa Barbara,0.4926,2009
Albany,0.4923,2009
Alabama St,0.4914,2009
Oregon,0.4911,2009
Jackson St,0.4903,2009
Mercer,0.4901,2009
Sacred Heart,0.4892,2009
Ohio,0.4882,2009
UT San Antonio,0.4873,2009
Montana,0.4872,2009
UT Arlington,0.4865,2009
Tulane,0.4859,2009
Western Carolina,0.4843,2009
South Florida,0.4833,2009
San Jose St,0.4831,2009
Georgia,0.482,2009
St. Bonaventure,0.482,2009
San Diego,0.4815,2009
Loyola (Maryland),0.4814,2009
Rutgers,0.4813,2009
Stony Brook,0.4807,2009
Santa Clara,0.4805,2009
CS Fullerton,0.4804,2009
UNC Asheville,0.479,2009
School,RPI,2009
New Hampshire,0.4773,2009
George Washington,0.4772,2009
Canisius,0.4772,2009
Indiana St,0.4771,2009
UC Riverside,0.4766,2009
DePaul,0.4766,2009
Idaho St,0.4764,2009
Lamar,0.4757,2009
Charlotte,0.4733,2009
Montana St,0.4724,2009
Missouri St,0.4718,2009
Colorado St,0.4713,2009
Iona,0.4708,2009
Loyola (Chicago),0.4697,2009
Presbyterian,0.4696,2009
Indiana,0.4691,2009
Florida Intl,0.4673,2009
Gardner Webb,0.4664,2009
Towson,0.4663,2009
Coppin St,0.4661,2009
Rice,0.4661,2009
Fresno St,0.4626,2009
East Carolina,0.4623,2009
Stetson,0.4621,2009
Delaware,0.4619,2009
Denver,0.4617,2009
Samford,0.4605,2009
IPFW,0.4602,2009
Central Connecticut,0.4594,2009
Yale,0.4594,2009
Eastern Washington,0.459,2009
Quinnipiac,0.4582,2009
Georgia St,0.4582,2009
Chicago St,0.4578,2009
Colorado,0.4572,2009
Lipscomb,0.4571,2009
UC Irvine,0.4562,2009
Utah Valley,0.4562,2009
Youngstown St,0.4558,2009
Long Island,0.4549,2009
School,RPI,2009
IUPUI,0.4543,2009
Hawai'i,0.4542,2009
Arkansas St,0.454,2009
Hampton,0.4537,2009
William & Mary,0.4526,2009
Harvard,0.4526,2009
SE Louisiana,0.4524,2009
Wagner,0.4503,2009
Appalachian St,0.45,2009
San Francisco,0.4495,2009
UA Pine Bluff,0.4495,2009
St. Peter's,0.4491,2009
Bethune Cookman,0.4491,2009
Lehigh,0.4488,2009
Winthrop,0.4478,2009
Campbell,0.4476,2009
South Carolina St,0.4469,2009
Savannah St,0.4467,2009
Pennsylvania,0.4465,2009
Marist,0.4465,2009
Valparaiso,0.4464,2009
Ball State,0.4437,2009
North Carolina A&T,0.442,2009
UC Davis,0.4413,2009
Jacksonville St,0.4409,2009
Southern Utah,0.4407,2009
SMU,0.4396,2009
UL Lafayette,0.4396,2009
Tennessee St,0.439,2009
Air Force,0.4389,2009
Texas St,0.4386,2009
Tennessee Tech,0.4381,2009
Northern Colorado,0.4375,2009
Prairie View A&M,0.4375,2009
Elon,0.4374,2009
Pepperdine,0.4368,2009
UNC Wilmington,0.436,2009
St. Francis (NY),0.4358,2009
Colgate,0.4355,2009
Army,0.4345,2009
School,RPI,2009
Detroit,0.4337,2009
New Orleans,0.4321,2009
South Dakota St,0.431,2009
Princeton,0.4308,2009
SC Upstate,0.4285,2009
Maine,0.4284,2009
UL Monroe,0.4282,2009
Eastern Illinois,0.4274,2009
Columbia,0.4272,2009
Norfolk St,0.4236,2009
Fordham,0.4225,2009
Northern Arizona,0.4221,2009
Centenary,0.422,2009
Longwood,0.4211,2009
Bucknell,0.4203,2009
Georgia So,0.4199,2009
Central Michigan,0.4197,2009
McNeese St,0.4195,2009
Hartford,0.4195,2009
Delaware St,0.4185,2009
Western Michigan,0.4176,2009
CS Bakersfield,0.4167,2009
Coastal Carolina,0.4158,2009
Cal Poly,0.4154,2009
Florida A&M,0.4152,2009
Bryant,0.4138,2009
Brown,0.4135,2009
Lafayette,0.4115,2009
UMKC,0.4101,2009
Florida Gulf Coast,0.4096,2009
Northwestern St,0.4077,2009
Houston Baptist,0.407,2009
Florida Atlantic,0.4062,2009
Fairleigh Dickinson,0.4054,2009
Dartmouth,0.4031,2009
UNC Greensboro,0.4006,2009
Toledo,0.3996,2009
Eastern Michigan,0.3987,2009
Central Arkansas,0.3987,2009
Loyola Marymount,0.3985,2009
School,RPI,2009
Monmouth,0.3968,2009
St. Francis (PA),0.395,2009
Texas Southern,0.3943,2009
Charleston Southern,0.394,2009
High Point,0.3935,2009
North Florida,0.3934,2009
Winston Salem St,0.3886,2009
Western Illinois,0.3866,2009
Northern Illinois,0.3861,2009
Howard,0.3837,2009
UT Pan American,0.3825,2009
Furman,0.3784,2009
Miss Valley St,0.3765,2009
Alabama A&M,0.375,2009
Southern U,0.3655,2009
NCCU,0.3648,2009
Kennesaw St,0.3639,2009
UM Eastern Shore,0.3601,2009
SE Missouri St,0.3569,2009
Grambling St,0.3526,2009
Sacramento St,0.3523,2009
Alcorn St,0.3399,2009
NJIT,0.3086,2009
Kansas,0.6878,2010
Kentucky,0.6658,2010
Duke,0.6637,2010
West Virginia,0.6607,2010
Syracuse,0.6513,2010
Kansas St,0.6447,2010
Georgetown,0.6353,2010
Temple,0.6342,2010
Baylor,0.6334,2010
New Mexico,0.6294,2010
Villanova,0.6271,2010
Butler,0.6267,2010
Texas A&M,0.6259,2010
Tennessee,0.6258,2010
Pittsburgh,0.6256,2010
Purdue,0.6228,2010
Northern Iowa,0.621,2010
San Diego St,0.6158,2010
Xavier,0.6149,2010
California,0.6148,2010
Wisconsin,0.614,2010
Ohio State,0.6128,2010
BYU,0.6125,2010
Maryland,0.6118,2010
Richmond,0.6111,2010
Vanderbilt,0.6103,2010
Old Dominion,0.605,2010
Michigan St,0.6027,2010
Texas,0.6025,2010
Utah St,0.6022,2010
Siena,0.6022,2010
Oklahoma St,0.602,2010
Georgia Tech,0.5988,2010
Clemson,0.5984,2010
St. Mary's,0.5968,2010
Gonzaga,0.5963,2010
Louisville,0.5949,2010
UTEP,0.5944,2010
Wake Forest,0.5939,2010
Rhode Island,0.5928,2010
School,RPI,2010
Washington,0.5915,2010
Florida St,0.5903,2010
Wichita St,0.5877,2010
Missouri,0.5859,2010
UAB,0.5851,2010
Cornell,0.5844,2010
Kent St,0.5843,2010
UNLV,0.5838,2010
Notre Dame,0.5838,2010
Marquette,0.5825,2010
New Mexico St,0.5798,2010
Oakland,0.5791,2010
Memphis,0.5779,2010
Dayton,0.5769,2010
Mississippi St,0.5759,2010
Florida,0.5749,2010
Murray St,0.5749,2010
William & Mary,0.5733,2010
Virginia Tech,0.5732,2010
Seton Hall,0.5724,2010
Mississippi,0.5712,2010
Minnesota,0.5711,2010
Arizona St,0.5701,2010
Connecticut,0.57,2010
Cincinnati,0.5698,2010
VCU,0.5671,2010
Marshall,0.5659,2010
Tulsa,0.5652,2010
Wofford,0.5635,2010
Sam Houston,0.5629,2010
South Florida,0.5626,2010
Texas Tech,0.5622,2010
Nevada,0.5618,2010
Illinois,0.5596,2010
Northeastern,0.5595,2010
Illinois St,0.5586,2010
Charlotte,0.5548,2010
Louisiana Tech,0.5547,2010
Portland,0.5541,2010
Wright St,0.5539,2010
School,RPI,2010
Fairfield,0.553,2010
St. John's,0.5515,2010
IUPUI,0.5499,2010
Morehead St,0.5488,2010
Weber St,0.5475,2010
Iona,0.5471,2010
Saint Louis,0.5471,2010
Indiana St,0.5466,2010
Akron,0.5457,2010
Missouri St,0.5449,2010
Coll of Charleston,0.5443,2010
North Carolina,0.544,2010
South Carolina,0.5424,2010
UC Santa Barbara,0.542,2010
Ohio,0.542,2010
Arizona,0.5414,2010
Montana,0.5411,2010
North Carolina St,0.541,2010
Miami (FL),0.5402,2010
Harvard,0.5381,2010
Appalachian St,0.538,2010
Alabama,0.5379,2010
Morgan St,0.5378,2010
North Texas,0.5362,2010
Bradley,0.5347,2010
Georgia,0.5344,2010
UW Green Bay,0.5312,2010
Buffalo,0.5307,2010
Troy,0.5303,2010
Houston,0.5298,2010
Long Beach,0.5292,2010
Southern California,0.5289,2010
Southern Miss,0.5278,2010
Duquesne,0.5274,2010
Creighton,0.5271,2010
Northwestern,0.5268,2010
Northern Colorado,0.5257,2010
Vermont,0.5256,2010
Colorado St,0.5255,2010
Colorado,0.5253,2010
School,RPI,2010
East Tenn St,0.5246,2010
Western Carolina,0.5246,2010
Iowa State,0.5243,2010
Oklahoma,0.5242,2010
Boston College,0.524,2010
Oral Roberts,0.5235,2010
Virginia,0.5219,2010
Pacific,0.5217,2010
Robert Morris,0.5216,2010
UW Milwaukee,0.5208,2010
Michigan,0.5202,2010
Western Kentucky,0.5195,2010
Princeton,0.5191,2010
Niagara,0.5191,2010
Belmont,0.5184,2010
Coastal Carolina,0.5179,2010
UCLA,0.5178,2010
Oregon,0.5171,2010
Rider,0.517,2010
Boston U,0.5168,2010
Providence,0.5166,2010
Stony Brook,0.5155,2010
Jacksonville,0.5152,2010
Miami (OH),0.515,2010
Hofstra,0.5145,2010
Drexel,0.5141,2010
Quinnipiac,0.5139,2010
George Washington,0.5134,2010
Nebraska,0.5133,2010
Western Michigan,0.513,2010
Stephen F. Austin,0.5125,2010
Lehigh,0.5122,2010
Auburn,0.5113,2010
Maine,0.511,2010
Eastern Kentucky,0.5103,2010
St. Bonaventure,0.5076,2010
Utah,0.5075,2010
George Mason,0.5075,2010
Arkansas,0.5066,2010
Winthrop,0.5065,2010
School,RPI,2010
Rutgers,0.5063,2010
Austin Peay,0.5059,2010
Stanford,0.5054,2010
Denver,0.5051,2010
Cleveland St,0.5049,2010
Texas A&M CC,0.5033,2010
Detroit,0.5027,2010
Radford,0.5026,2010
Eastern Illinois,0.5023,2010
Southern Illinois,0.5018,2010
Mt St. Mary's,0.5015,2010
Washington St,0.5015,2010
La Salle,0.5012,2010
Idaho,0.5001,2010
Loyola Marymount,0.5001,2010
San Jose St,0.4985,2010
Middle Tenn St,0.4971,2010
Drake,0.4969,2010
Davidson,0.4968,2010
St. Peter's,0.4965,2010
Massachusetts,0.4963,2010
Campbell,0.4961,2010
UA Pine Bluff,0.4958,2010
Saint Joseph's,0.4956,2010
Oregon St,0.4954,2010
Valparaiso,0.494,2010
UT San Antonio,0.4922,2010
TCU,0.491,2010
Bowling Green,0.4908,2010
Fresno St,0.4903,2010
UCF,0.4902,2010
Seattle,0.4868,2010
SE Louisiana,0.4853,2010
Penn State,0.4851,2010
Central Michigan,0.4829,2010
Tennessee Tech,0.4825,2010
Northern Arizona,0.4813,2010
The Citadel,0.4812,2010
Jackson St,0.4808,2010
Montana St,0.4795,2010
School,RPI,2010
Eastern Michigan,0.4786,2010
Arkansas St,0.4785,2010
Boise St,0.4773,2010
CS Fullerton,0.477,2010
San Francisco,0.4769,2010
Canisius,0.4769,2010
Lipscomb,0.4766,2010
SMU,0.4752,2010
Lafayette,0.4751,2010
Iowa,0.4746,2010
South Alabama,0.4734,2010
DePaul,0.4732,2010
Loyola (Chicago),0.4717,2010
Delaware St,0.4716,2010
Loyola (Maryland),0.4705,2010
South Dakota,0.4704,2010
Portland St,0.47,2010
Florida Atlantic,0.47,2010
UNC Asheville,0.4699,2010
Ball State,0.4697,2010
Mercer,0.4687,2010
Indiana,0.4683,2010
LSU,0.4653,2010
IPFW,0.4647,2010
South Carolina St,0.4644,2010
Manhattan,0.464,2010
Texas Southern,0.4614,2010
Wyoming,0.4611,2010
Binghamton,0.4607,2010
San Diego,0.4597,2010
East Carolina,0.4585,2010
Liberty,0.4576,2010
Santa Clara,0.4568,2010
South Dakota St,0.4564,2010
UT Arlington,0.4563,2010
North Florida,0.4558,2010
UNC Wilmington,0.4555,2010
Chattanooga,0.4551,2010
Delaware,0.4551,2010
Long Island,0.4531,2010
School,RPI,2010
James Madison,0.4526,2010
New Hampshire,0.4523,2010
Texas St,0.4523,2010
UC Davis,0.4522,2010
Air Force,0.4521,2010
UL Lafayette,0.4515,2010
Army,0.4488,2010
Georgia St,0.4485,2010
UNC Greensboro,0.4482,2010
Evansville,0.4482,2010
CS Northridge,0.4466,2010
Columbia,0.4466,2010
Hawai'i,0.4447,2010
High Point,0.4442,2010
UC Riverside,0.444,2010
Cal Poly,0.4432,2010
Brown,0.4431,2010
Bucknell,0.4413,2010
Bethune Cookman,0.4412,2010
Tennessee St,0.4407,2010
Northern Illinois,0.4385,2010
Samford,0.4382,2010
Sacred Heart,0.4379,2010
Towson,0.4377,2010
Navy,0.4377,2010
Norfolk St,0.4367,2010
Yale,0.4364,2010
North Dakota St,0.4354,2010
Elon,0.434,2010
Fairleigh Dickinson,0.4325,2010
Youngstown St,0.4324,2010
Prairie View A&M,0.4318,2010
UL Monroe,0.4315,2010
Holy Cross,0.4313,2010
Alabama St,0.4312,2010
UC Irvine,0.4311,2010
Nicholls St,0.4302,2010
Furman,0.4295,2010
Eastern Washington,0.4295,2010
Western Illinois,0.4285,2010
School,RPI,2010
UMKC,0.4279,2010
Tulane,0.4278,2010
Hampton,0.4269,2010
Kennesaw St,0.4268,2010
Charleston Southern,0.4264,2010
Longwood,0.4261,2010
St. Francis (PA),0.4252,2010
Georgia So,0.4242,2010
Monmouth,0.4242,2010
Colgate,0.423,2010
UIC,0.4224,2010
Lamar,0.4216,2010
Winston Salem St,0.4215,2010
St. Francis (NY),0.4193,2010
American,0.4193,2010
Florida Intl,0.4174,2010
