team,rpi,year
Morehead St,0.4752,1995
Monmouth,0.4749,1995
Fairfield,0.4732,1995
TX-San Antonio,0.4712,1995
Mississippi,0.4706,1995
San Diego,0.4701,1995
Loyola Marymount,0.4698,1995
Towson,0.4685,1995
Rhode Island,0.4682,1995
Samford,0.4674,1995
Mercer,0.4669,1995
Maine,0.4667,1995
Liberty,0.4651,1995
Southern California,0.4641,1995
East Tenn St,0.4638,1995
Dayton,0.4635,1995
Radford,0.4615,1995
Ohio State,0.4614,1995
Stephen F. Austin,0.4612,1995
UMBC,0.4609,1995
Holy Cross,0.4592,1995
Eastern Illinois,0.4592,1995
Hofstra,0.4571,1995
Dartmouth,0.457,1995
Davidson,0.4561,1995
SMU,0.4536,1995
Brown,0.4536,1995
Akron,0.4529,1995
Kent St,0.4528,1995
North Carolina A&T,0.4526,1995
Bucknell,0.4516,1995
St. Francis-PA,0.4515,1995
Northwestern St,0.4514,1995
Loyola (Maryland),0.4507,1995
Pepperdine,0.4507,1995
SE Missouri St,0.4499,1995
Creighton,0.4497,1995
North Texas,0.4475,1995
Houston,0.4467,1995
San Diego St,0.4464,1995
CS Fullerton,0.4459,1995
Air Force,0.445,1995
Texas St,0.445,1995
Miss Valley St,0.4449,1995
SE Louisiana,0.4448,1995
Northern Arizona,0.4448,1995
Tennessee Tech,0.4447,1995
Jackson St,0.4443,1995
Florida Intl,0.4414,1995
Western Carolina,0.441,1995
Wagner,0.441,1995
Northwestern,0.4401,1995
Centenary,0.4392,1995
American,0.439,1995
South Alabama,0.4387,1995
Richmond,0.4385,1995
McNeese St,0.4383,1995
Troy,0.4381,1995
Northern Iowa,0.4369,1995
Baylor,0.4362,1995
Indiana St,0.4357,1995
UNC Asheville,0.4341,1995
Eastern Kentucky,0.4338,1995
Lamar,0.4336,1995
UCF,0.4332,1995
Fordham,0.4332,1995
Georgia St,0.4323,1995
Middle Tenn St,0.4316,1995
Southern Utah,0.4313,1995
South Carolina St,0.4304,1995
William & Mary,0.4287,1995
Lehigh,0.4286,1995
Bethune-Cookman,0.4284,1995
UL Lafayette,0.4279,1995
Chicago St,0.4264,1995
Iona,0.4264,1995
Long Island,0.4257,1995
TX-Arlington,0.4253,1995
Cleveland St,0.4222,1995
Florida Atlantic,0.4209,1995
San Jose St,0.4206,1995
Oral Roberts,0.4197,1995
Alabama St,0.4192,1995
George Mason,0.419,1995
Siena,0.4182,1995
Army,0.4146,1995
MD-Eastern Shore,0.4146,1995
Central Connecticut,0.4142,1995
The Citadel,0.4136,1995
VMI,0.4126,1995
Campbell,0.4124,1995
Arkansas St,0.4122,1995
Coastal Carolina,0.4118,1995
Niagara,0.4116,1995
UMKC,0.4107,1995
Appalachian St,0.409,1995
Tennessee-Martin,0.4072,1995
Winthrop,0.4069,1995
Furman,0.4038,1995
Eastern Washington,0.4025,1995
Cornell,0.4021,1995
CS Northridge,0.401,1995
St. Francis-NY,0.3996,1995
Howard,0.3968,1995
Loyola (Chicago),0.3947,1995
Yale,0.3941,1995
Central Michigan,0.3927,1995
Sam Houston,0.3917,1995
Southern U,0.3908,1995
Harvard,0.3872,1995
Georgia So,0.3867,1995
Grambling,0.3836,1995
Robert Morris,0.3798,1995
Wis-Milwaukee,0.3744,1995
Sacramento St,0.3703,1995
Morgan St,0.37,1995
Alcorn St,0.3692,1995
NE Illinois,0.365,1995
Lafayette,0.3551,1995
Columbia,0.3499,1995
Delaware St,0.3494,1995
Florida A&M,0.3492,1995
Prairie View A&M,0.3487,1995
Cal Poly,0.3401,1995
Kentucky,0.684,1996
UMass,0.6647,1996
UConn,0.6463,1996
Cincinnati,0.6449,1996
Villanova,0.6441,1996
Purdue,0.6398,1996
Kansas,0.6397,1996
Wake Forest,0.637,1996
Georgia Tech,0.635,1996
Texas Tech,0.6283,1996
Arizona,0.622,1996
Georgetown,0.6219,1996
Iowa State,0.6191,1996
Penn State,0.6147,1996
Memphis,0.6146,1996
Syracuse,0.6144,1996
North Carolina,0.614,1996
Mississippi St,0.6122,1996
Louisville,0.607,1996
