team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Marquette,2013,Syracuse,Elite Eight,4,55,3,39,16,1,8.57,8.12,12.18,20.3,8.59,7.3,6.75,14.05
Duke,2013,Louisville,Elite Eight,1,85,2,63,22,-1,9.14,12.78,12.04,24.82,9.57,14.2,7.26,21.46
La Salle,2013,Wichita State,Sweet 16,9,72,13,58,14,-4,6.09,5.46,9.22,14.68,4.47,6.78,3.37,10.15
Syracuse,2013,Indiana,Sweet 16,1,50,4,61,-11,-3,8.39,16.85,8.07,24.92,8.57,8.12,12.18,20.3
Florida Gulf Coast,2013,Florida,Sweet 16,3,62,15,50,12,-12,6.85,7.92,15.96,23.88,-1.82,4.25,-1.24,3.01
Duke,2013,Michigan State,Sweet 16,3,61,2,71,-10,1,10.55,5.78,12.86,18.63,9.57,14.2,7.26,21.46
Ohio State,2013,Arizona,Sweet 16,6,70,2,73,-3,4,7.48,10.25,7.07,17.31,9.33,9.21,10.99,20.19
Michigan,2013,Kansas,Sweet 16,1,85,4,87,-2,-3,7.55,11.67,9.12,20.79,10.05,13.47,7.82,21.29
Miami (Fla.),2013,Marquette,Sweet 16,3,71,2,61,10,1,8.59,7.3,6.75,14.05,7.87,5.28,11.71,16.98
Oregon,2013,Louisville,Sweet 16,1,77,12,69,8,-11,9.14,12.78,12.04,24.82,5.73,8.26,5.52,13.78
Syracuse,2013,California,Second Round,12,60,4,66,-6,8,7.71,4.43,6.17,10.59,8.57,8.12,12.18,20.3
Marquette,2013,Butler,Second Round,6,72,3,74,-2,3,6.09,4.32,6.68,11.01,8.59,7.3,6.75,14.05
Michigan State,2013,Memphis,Second Round,6,48,3,70,-22,3,2.73,7.7,4.58,12.28,10.55,5.78,12.86,18.63
Temple,2013,Indiana,Second Round,1,58,9,52,6,-8,8.39,16.85,8.07,24.92,5.21,6.78,2.76,9.54
Florida Gulf Coast,2013,San Diego State,Second Round,7,71,15,81,-10,-8,6.14,4.91,8.04,12.95,-1.82,4.25,-1.24,3.01
Wichita State,2013,Gonzaga,Second Round,1,70,9,76,-6,-8,4.14,11.34,9.1,20.44,6.09,5.46,9.22,14.68
Harvard,2013,Arizona,Second Round,6,74,14,51,23,-8,7.48,10.25,7.07,17.31,0.17,2.61,1.35,3.96
Michigan,2013,Virginia Commonwealth,Second Round,5,53,4,78,-25,1,4.55,11.51,5.46,16.97,10.05,13.47,7.82,21.29
North Carolina,2013,Kansas,Second Round,1,70,8,58,12,-7,7.55,11.67,9.12,20.79,8.06,12.85,1.72,14.57
Duke,2013,Creighton,Second Round,7,50,2,66,-16,5,5.15,10.26,6.17,16.43,9.57,14.2,7.26,21.46
Ohio State,2013,Iowa State,Second Round,10,75,2,78,-3,8,6.13,15.4,-0.89,14.5,9.33,9.21,10.99,20.19
Colorado State,2013,Louisville,Second Round,1,82,8,56,26,-7,9.14,12.78,12.04,24.82,5.84,9.02,4.58,13.6
Miami (Fla.),2013,Illinois,Second Round,7,59,2,63,-4,5,10.04,6.85,6.33,13.18,7.87,5.28,11.71,16.98
Florida,2013,Minnesota,Second Round,11,64,3,78,-14,8,10.31,7.55,9.29,16.84,6.85,7.92,15.96,23.88
La Salle,2013,Mississippi,Second Round,12,74,13,76,-2,-1,4.17,12.96,1.48,14.44,4.47,6.78,3.37,10.15
St. Louis,2013,Oregon,Second Round,12,74,4,57,17,8,5.73,8.26,5.52,13.78,4.29,3.48,10.87,14.35
Mississippi,2013,Wisconsin,First Round,5,46,12,57,-11,-7,9.73,3.16,15.6,18.76,4.17,12.96,1.48,14.44
Iowa State,2013,Notre Dame,First Round,7,58,10,76,-18,-3,7.24,6.69,7.06,13.76,6.13,15.4,-0.89,14.5
Bucknell,2013,Butler,First Round,6,68,11,56,12,-5,6.09,4.32,6.68,11.01,-1.95,-0.53,7.5,6.96
Minnesota,2013,UCLA,First Round,6,63,11,83,-20,-5,7.77,11.84,0.98,12.82,10.31,7.55,9.29,16.84
South Dakota State,2013,Michigan,First Round,4,71,13,56,15,-9,10.05,13.47,7.82,21.29,-3.27,3.2,-0.85,2.35
Missouri,2013,Colorado State,First Round,8,84,9,72,12,-1,5.84,9.02,4.58,13.6,6.01,11.65,3.78,15.42
St. Mary's (Cal.),2013,Memphis,First Round,6,54,11,52,2,-5,2.73,7.7,4.58,12.28,3.26,8.75,5.71,14.46
Harvard,2013,New Mexico,First Round,3,62,14,68,-6,-11,6.59,4.58,8.66,13.24,0.17,2.61,1.35,3.96
James Madison,2013,Indiana,First Round,1,83,16,62,21,-15,8.39,16.85,8.07,24.92,-2.22,-3.62,1.96,-1.67
Villanova,2013,North Carolina,First Round,8,78,9,71,7,-1,8.06,12.85,1.72,14.57,8.54,5.98,4.77,10.75
Northwestern State,2013,Florida,First Round,3,79,14,47,32,-11,6.85,7.92,15.96,23.88,-3.79,8.54,-8.15,0.39
Oklahoma,2013,San Diego State,First Round,7,70,10,55,15,-3,6.14,4.91,8.04,12.95,7.08,7.27,4.12,11.4
Valparaiso,2013,Michigan State,First Round,3,65,14,54,11,-11,10.55,5.78,12.86,18.63,-1.12,4.35,2.8,7.15
Iona,2013,Ohio State,First Round,2,95,15,70,25,-13,9.33,9.21,10.99,20.19,0.0,14.63,-10.58,4.06
Southern,2013,Gonzaga,First Round,1,64,16,58,6,-15,4.14,11.34,9.1,20.44,-10.32,-4.83,2.21,-2.62
Wichita State,2013,Pittsburgh,First Round,8,55,9,73,-18,-1,5.66,4.68,14.16,18.84,6.09,5.46,9.22,14.68
Belmont,2013,Arizona,First Round,6,81,11,64,17,-5,7.48,10.25,7.07,17.31,-0.92,7.37,3.04,10.41
Pacific,2013,Miami (Fla.),First Round,2,78,15,49,29,-13,7.87,5.28,11.71,16.98,0.76,-0.83,2.51,1.67
Akron,2013,Virginia Commonwealth,First Round,5,88,12,42,46,-7,4.55,11.51,5.46,16.97,0.18,4.29,3.83,8.12
Western Kentucky,2013,Kansas,First Round,1,64,16,57,7,-15,7.55,11.67,9.12,20.79,-1.12,-1.51,0.88,-0.63
Albany (N.Y.),2013,Duke,First Round,2,73,15,61,12,-13,9.57,14.2,7.26,21.46,-4.51,-3.3,2.45,-0.86
Cincinnati,2013,Creighton,First Round,7,67,10,63,4,-3,5.15,10.26,6.17,16.43,6.94,3.83,10.64,14.47
La Salle,2013,Kansas State,First Round,4,61,13,63,-2,-9,6.54,4.18,9.36,13.54,4.47,6.78,3.37,10.15
Temple,2013,North Carolina State,First Round,8,72,9,76,-4,-1,7.19,13.6,0.73,14.34,5.21,6.78,2.76,9.54
Davidson,2013,Marquette,First Round,3,59,14,58,1,-11,8.59,7.3,6.75,14.05,-3.43,4.62,2.68,7.3
Montana,2013,Syracuse,First Round,4,81,13,34,47,-9,8.57,8.12,12.18,20.3,-4.29,-0.87,-0.32,-1.19
North Carolina A&T,2013,Louisville,First Round,1,79,16,48,31,-15,9.14,12.78,12.04,24.82,-6.29,-7.46,0.53,-6.93
Colorado,2013,Illinois,First Round,7,57,10,49,8,-3,10.04,6.85,6.33,13.18,7.91,4.3,7.62,11.91
Florida Gulf Coast,2013,Georgetown,First Round,2,68,15,78,-10,-13,7.61,1.43,14.43,15.86,-1.82,4.25,-1.24,3.01
Oregon,2013,Oklahoma State,First Round,5,55,12,68,-13,-7,6.72,7.6,7.97,15.57,5.73,8.26,5.52,13.78
New Mexico State,2013,St. Louis,First Round,4,64,13,44,20,-9,4.29,3.48,10.87,14.35,0.68,0.95,4.14,5.09
California,2013,UNLV,First Round,5,61,12,64,-3,-7,5.6,6.81,6.0,12.81,7.71,4.43,6.17,10.59
Liberty,2013,North Carolina A&T,Play-In,16,73,16,72,1,0,-6.29,-7.46,0.53,-6.93,-5.78,-2.87,-6.24,-9.11
St. Mary's (Cal.),2013,Middle Tennessee State,Play-In,11,54,11,67,-13,0,-1.5,2.82,8.35,11.18,3.26,8.75,5.71,14.46
La Salle,2013,Boise State,Play-In,13,71,13,80,-9,0,5.21,6.9,2.48,9.38,4.47,6.78,3.37,10.15
James Madison,2013,Long Island,Play-In,16,55,16,68,-13,0,-5.78,8.14,-11.33,-3.19,-2.22,-3.62,1.96,-1.67
Kansas,2012,Kentucky,National Championship,1,67,2,59,8,-1,7.93,13.97,10.75,24.73,9.93,11.17,10.55,21.72
Louisville,2012,Kentucky,Final Four,1,69,4,61,8,-3,7.93,13.97,10.75,24.73,9.02,4.73,11.46,16.19
Kansas,2012,Ohio State,Final Four,2,62,2,64,-2,0,9.07,12.58,11.37,23.95,9.93,11.17,10.55,21.72
Baylor,2012,Kentucky,Elite Eight,1,82,3,70,12,-2,7.93,13.97,10.75,24.73,8.03,10.2,6.34,16.54
Kansas,2012,North Carolina,Elite Eight,1,67,2,80,-13,-1,7.07,17.03,4.3,21.34,9.93,11.17,10.55,21.72
Florida,2012,Louisville,Elite Eight,4,72,7,68,4,-3,9.02,4.73,11.46,16.19,7.33,13.34,4.91,18.25
Ohio State,2012,Syracuse,Elite Eight,1,70,2,77,-7,-1,8.02,11.14,9.99,21.12,9.07,12.58,11.37,23.95
Indiana,2012,Kentucky,Sweet 16,1,102,4,90,12,-3,7.93,13.97,10.75,24.73,7.8,14.53,4.1,18.63
Louisville,2012,Michigan State,Sweet 16,1,44,4,57,-13,-3,9.82,8.73,12.58,21.32,9.02,4.73,11.46,16.19
Ohio,2012,North Carolina,Sweet 16,1,73,13,65,8,-12,7.07,17.03,4.3,21.34,0.17,2.7,4.46,7.17
Florida,2012,Marquette,Sweet 16,3,58,7,68,-10,-4,7.5,12.11,4.82,16.92,7.33,13.34,4.91,18.25
Wisconsin,2012,Syracuse,Sweet 16,1,64,4,63,1,-3,8.02,11.14,9.99,21.12,8.24,0.58,18.47,19.04
Xavier,2012,Baylor,Sweet 16,3,75,10,70,5,-7,8.03,10.2,6.34,16.54,6.22,5.95,3.64,9.59
Kansas,2012,North Carolina State,Sweet 16,11,57,2,60,-3,9,6.8,9.17,2.94,12.1,9.93,11.17,10.55,21.72
Ohio State,2012,Cincinnati,Sweet 16,6,66,2,81,-15,4,6.28,4.55,8.38,12.93,9.07,12.58,11.37,23.95
Wisconsin,2012,Vanderbilt,Second Round,5,57,4,60,-3,1,8.04,9.36,6.35,15.71,8.24,0.58,18.47,19.04
Iowa State,2012,Kentucky,Second Round,1,87,8,71,16,-7,7.93,13.97,10.75,24.73,7.32,8.91,4.41,13.32
St. Louis,2012,Michigan State,Second Round,1,65,9,61,4,-8,9.82,8.73,12.58,21.32,4.06,2.48,12.67,15.15
Louisville,2012,New Mexico,Second Round,5,56,4,59,-3,1,3.34,6.64,8.96,15.6,9.02,4.73,11.46,16.19
Marquette,2012,Murray St.,Second Round,6,53,3,62,-9,3,-2.6,3.25,5.49,8.74,7.5,12.11,4.82,16.92
Norfolk State,2012,Florida,Second Round,7,84,15,50,34,-8,7.33,13.34,4.91,18.25,-5.39,-1.41,-2.27,-3.68
Creighton,2012,North Carolina,Second Round,1,87,8,73,14,-7,7.07,17.03,4.3,21.34,3.41,13.18,-0.26,12.92
Ohio State,2012,Gonzaga,Second Round,7,66,2,73,-7,5,3.25,6.89,6.97,13.86,9.07,12.58,11.37,23.95
Indiana,2012,Virginia Commonwealth,Second Round,12,61,4,63,-2,8,0.63,2.74,6.05,8.79,7.8,14.53,4.1,18.63
Kansas State,2012,Syracuse,Second Round,1,75,8,59,16,-7,8.02,11.14,9.99,21.12,7.53,7.66,6.81,14.47
Baylor,2012,Colorado,Second Round,11,63,3,80,-17,8,5.73,2.06,5.85,7.91,8.03,10.2,6.34,16.54
Georgetown,2012,North Carolina State,Second Round,11,66,3,63,3,8,6.8,9.17,2.94,12.1,7.69,4.49,12.32,16.81
Ohio,2012,South Florida,Second Round,12,56,13,62,-6,-1,7.29,-5.08,14.28,9.2,0.17,2.7,4.46,7.17
Florida State,2012,Cincinnati,Second Round,6,62,3,56,6,3,6.28,4.55,8.38,12.93,7.62,6.0,8.54,14.53
Lehigh,2012,Xavier,Second Round,10,70,15,58,12,-5,6.22,5.95,3.64,9.59,-5.14,5.63,-1.37,4.27
Kansas,2012,Purdue,Second Round,10,60,2,63,-3,8,8.05,8.62,5.26,13.88,9.93,11.17,10.55,21.72
St. Louis,2012,Memphis,First Round,8,54,9,61,-7,-1,5.26,11.14,5.72,16.86,4.06,2.48,12.67,15.15
Harvard,2012,Vanderbilt,First Round,5,79,12,70,9,-7,8.04,9.36,6.35,15.71,-1.56,-1.58,9.42,7.84
Montana,2012,Wisconsin,First Round,4,73,13,49,24,-9,8.24,0.58,18.47,19.04,-3.39,-0.72,5.26,4.55
Xavier,2012,Notre Dame,First Round,7,63,10,67,-4,-3,6.47,2.42,8.76,11.18,6.22,5.95,3.64,9.59
Western Kentucky,2012,Kentucky,First Round,1,81,16,66,15,-15,7.93,13.97,10.75,24.73,0.51,-1.68,-0.98,-2.66
Ohio,2012,Michigan,First Round,4,60,13,65,-5,-9,8.98,3.87,9.32,13.19,0.17,2.7,4.46,7.17
Long Island,2012,Michigan State,First Round,1,89,16,67,22,-15,9.82,8.73,12.58,21.32,-5.1,11.38,-12.71,-1.34
Long Beach State,2012,New Mexico,First Round,5,75,12,68,7,-7,3.34,6.64,8.96,15.6,0.87,6.44,3.08,9.52
Colorado State,2012,Murray St.,First Round,6,58,11,41,17,-5,-2.6,3.25,5.49,8.74,5.23,5.34,1.25,6.58
Virginia,2012,Florida,First Round,7,71,10,45,26,-3,7.33,13.34,4.91,18.25,4.23,-3.41,15.92,12.51
Colorado,2012,UNLV,First Round,6,64,11,68,-4,-5,4.37,11.33,2.23,13.55,5.73,2.06,5.85,7.91
New Mexico State,2012,Indiana,First Round,4,79,13,66,13,-9,7.8,14.53,4.1,18.63,0.08,9.12,-0.39,8.73
Virginia Commonwealth,2012,Wichita State,First Round,5,59,12,62,-3,-7,3.8,10.64,6.79,17.42,0.63,2.74,6.05,8.79
Vermont,2012,North Carolina,First Round,1,77,16,58,19,-15,7.07,17.03,4.3,21.34,-5.19,-2.16,3.13,0.98
North Carolina State,2012,San Diego State,First Round,6,65,11,79,-14,-5,3.79,4.59,4.46,9.04,6.8,9.17,2.94,12.1
South Florida,2012,Temple,First Round,5,44,12,58,-14,-7,4.94,9.09,1.35,10.44,7.29,-5.08,14.28,9.2
Loyola (Md.),2012,Ohio State,First Round,2,78,15,59,19,-13,9.07,12.58,11.37,23.95,-2.72,-2.18,2.54,0.37
St. Bonaventure,2012,Florida State,First Round,3,66,14,63,3,-11,7.62,6.0,8.54,14.53,2.84,3.67,4.57,8.25
West Virginia,2012,Gonzaga,First Round,7,77,10,54,23,-3,3.25,6.89,6.97,13.86,7.53,7.72,4.41,12.13
Lehigh,2012,Duke,First Round,2,70,15,75,-5,-13,8.4,13.75,3.3,17.05,-5.14,5.63,-1.37,4.27
Detroit,2012,Kansas,First Round,2,65,15,50,15,-13,9.93,11.17,10.55,21.72,-0.01,4.63,-2.23,2.4
Alabama,2012,Creighton,First Round,8,58,9,57,1,-1,3.41,13.18,-0.26,12.92,7.18,0.16,13.6,13.76
Brigham Young,2012,Marquette,First Round,3,88,14,68,20,-11,7.5,12.11,4.82,16.92,1.55,10.45,0.8,11.25
Davidson,2012,Louisville,First Round,4,69,13,62,7,-9,9.02,4.73,11.46,16.19,-1.68,8.39,-1.13,7.26
Norfolk State,2012,Missouri,First Round,2,84,15,86,-2,-13,5.68,16.13,3.64,19.77,-5.39,-1.41,-2.27,-3.68
UNC Asheville,2012,Syracuse,First Round,1,72,16,65,7,-15,8.02,11.14,9.99,21.12,-2.72,7.96,-4.9,3.06
Southern Mississippi,2012,Kansas State,First Round,8,70,9,64,6,-1,7.53,7.66,6.81,14.47,3.61,5.67,2.12,7.79
South Dakota State,2012,Baylor,First Round,3,68,14,60,8,-11,8.03,10.2,6.34,16.54,-1.87,7.0,0.34,7.34
Connecticut,2012,Iowa State,First Round,8,77,9,64,13,-1,7.32,8.91,4.41,13.32,8.07,5.05,7.23,12.27
Purdue,2012,St. Mary's (Cal.),First Round,7,69,10,72,-3,-3,0.78,6.01,5.25,11.26,8.05,8.62,5.26,13.88
Texas,2012,Cincinnati,First Round,6,65,11,59,6,-5,6.28,4.55,8.38,12.93,8.12,8.0,6.0,14.0
Belmont,2012,Georgetown,First Round,3,74,14,59,15,-11,7.69,4.49,12.32,16.81,-1.22,11.7,0.12,11.81
South Florida,2012,California,Play-In,12,54,12,65,-11,0,4.53,6.47,7.33,13.79,7.29,-5.08,14.28,9.2
Iona,2012,Brigham Young,Play-In,14,78,14,72,6,0,1.55,10.45,0.8,11.25,-1.82,14.07,-5.7,8.36
Vermont,2012,Lamar,Play-In,16,59,16,71,-12,0,-3.77,3.04,-0.63,2.41,-5.19,-2.16,3.13,0.98
Western Kentucky,2012,Mississippi Valley State,Play-In,16,58,16,59,-1,0,-7.65,-1.06,-6.97,-8.03,0.51,-1.68,-0.98,-2.66
Butler,2011,Connecticut,National Championship,3,53,8,41,12,-5,10.44,9.23,8.72,17.95,5.02,5.06,6.48,11.53
Connecticut,2011,Kentucky,Final Four,4,55,3,56,-1,1,8.91,10.67,9.64,20.3,10.44,9.23,8.72,17.95
Butler,2011,Virginia Commonwealth,Final Four,11,62,8,70,-8,3,3.78,6.2,2.36,8.56,5.02,5.06,6.48,11.53
North Carolina,2011,Kentucky,Elite Eight,4,76,2,69,7,2,8.91,10.67,9.64,20.3,10.15,13.0,5.87,18.87
Florida,2011,Butler,Elite Eight,8,74,2,71,3,6,5.02,5.06,6.48,11.53,7.57,7.74,8.53,16.27
Connecticut,2011,Arizona,Elite Eight,5,63,3,65,-2,2,7.99,11.12,5.42,16.54,10.44,9.23,8.72,17.95
Virginia Commonwealth,2011,Kansas,Elite Eight,1,61,11,71,-10,-10,7.62,15.48,8.62,24.1,3.78,6.2,2.36,8.56
San Diego State,2011,Connecticut,Sweet 16,3,74,2,67,7,1,10.44,9.23,8.72,17.95,6.36,5.28,12.68,17.96
Wisconsin,2011,Butler,Sweet 16,8,61,4,54,7,4,5.02,5.06,6.48,11.53,9.42,4.24,14.52,18.77
Kentucky,2011,Ohio State,Sweet 16,1,60,4,62,-2,-3,8.38,13.39,12.45,25.84,8.91,10.67,9.64,20.3
Arizona,2011,Duke,Sweet 16,1,77,5,93,-16,-4,8.32,16.55,7.95,24.51,7.99,11.12,5.42,16.54
Florida State,2011,Virginia Commonwealth,Sweet 16,11,72,10,71,1,1,3.78,6.2,2.36,8.56,6.45,3.52,9.97,13.48
Richmond,2011,Kansas,Sweet 16,1,77,12,57,20,-11,7.62,15.48,8.62,24.1,2.79,2.85,8.38,11.23
Florida,2011,Brigham Young,Sweet 16,3,74,2,83,-9,1,5.76,15.83,2.82,18.65,7.57,7.74,8.53,16.27
North Carolina,2011,Marquette,Sweet 16,11,63,2,81,-18,9,8.51,10.23,4.66,14.89,10.15,13.0,5.87,18.87
Kentucky,2011,West Virginia,Second Round,5,63,4,71,-8,1,11.03,5.64,10.51,16.15,8.91,10.67,9.64,20.3
Florida,2011,UCLA,Second Round,7,65,2,73,-8,5,7.93,5.03,6.67,11.7,7.57,7.74,8.53,16.27
San Diego State,2011,Temple,Second Round,7,64,2,71,-7,5,4.23,3.97,8.38,12.35,6.36,5.28,12.68,17.96
Michigan,2011,Duke,Second Round,1,73,8,71,2,-7,8.32,16.55,7.95,24.51,10.68,3.14,11.07,14.21
Texas,2011,Arizona,Second Round,5,70,4,69,1,1,7.99,11.12,5.42,16.54,7.96,9.52,11.3,20.82
George Mason,2011,Ohio State,Second Round,1,98,8,66,32,-7,8.38,13.39,12.45,25.84,1.37,6.01,5.65,11.66
Notre Dame,2011,Florida State,Second Round,10,71,2,57,14,8,6.45,3.52,9.97,13.48,8.43,11.1,7.07,18.17
Purdue,2011,Virginia Commonwealth,Second Round,11,94,3,76,18,8,3.78,6.2,2.36,8.56,8.69,9.34,10.02,19.36
Illinois,2011,Kansas,Second Round,1,73,9,59,14,-8,7.62,15.48,8.62,24.1,11.11,7.98,8.74,16.72
Brigham Young,2011,Gonzaga,Second Round,11,67,3,89,-22,8,4.01,8.59,5.27,13.86,5.76,15.83,2.82,18.65
Butler,2011,Pittsburgh,Second Round,1,70,8,71,-1,-7,7.85,9.54,11.28,20.82,5.02,5.06,6.48,11.53
Syracuse,2011,Marquette,Second Round,11,66,3,62,4,8,8.51,10.23,4.66,14.89,8.79,9.39,9.45,18.85
Morehead State,2011,Richmond,Second Round,12,65,13,48,17,-1,2.79,2.85,8.38,11.23,-3.13,-1.68,4.49,2.81
Wisconsin,2011,Kansas State,Second Round,5,65,4,70,-5,1,8.41,7.55,7.04,14.59,9.42,4.24,14.52,18.77
Connecticut,2011,Cincinnati,Second Round,6,58,3,69,-11,3,6.1,3.69,11.72,15.41,10.44,9.23,8.72,17.95
North Carolina,2011,Washington,Second Round,7,83,2,86,-3,5,7.74,18.29,1.83,20.12,10.15,13.0,5.87,18.87
Tennessee,2011,Michigan,First Round,8,75,9,45,30,-1,10.68,3.14,11.07,14.21,8.73,5.2,5.89,11.08
Bucknell,2011,Connecticut,First Round,3,81,14,52,29,-11,10.44,9.23,8.72,17.95,-3.87,-1.02,3.42,2.39
Clemson,2011,West Virginia,First Round,5,84,12,76,8,-7,11.03,5.64,10.51,16.15,6.58,3.37,10.39,13.76
Princeton,2011,Kentucky,First Round,4,59,13,57,2,-9,8.91,10.67,9.64,20.3,-1.61,-0.3,4.02,3.71
Richmond,2011,Vanderbilt,First Round,5,66,12,69,-3,-7,6.86,11.12,3.97,15.1,2.79,2.85,8.38,11.23
Florida State,2011,Texas A&M,First Round,7,50,10,57,-7,-3,5.94,2.24,10.38,12.62,6.45,3.52,9.97,13.48
Akron,2011,Notre Dame,First Round,2,69,15,56,13,-13,8.43,11.1,7.07,18.17,-1.02,0.77,1.37,2.15
Michigan State,2011,UCLA,First Round,7,78,10,76,2,-3,7.93,5.03,6.67,11.7,11.67,6.14,7.56,13.7
Belmont,2011,Wisconsin,First Round,4,72,13,58,14,-9,9.42,4.24,14.52,18.77,-4.42,9.39,3.68,13.07
Old Dominion,2011,Butler,First Round,8,60,9,58,2,-1,5.02,5.06,6.48,11.53,1.76,-1.53,10.56,9.03
Northern Colorado,2011,San Diego State,First Round,2,68,15,50,18,-13,6.36,5.28,12.68,17.96,-2.24,1.69,-0.3,1.39
Penn State,2011,Temple,First Round,7,66,10,64,2,-3,4.23,3.97,8.38,12.35,11.45,0.94,11.04,11.98
Long Island,2011,North Carolina,First Round,2,102,15,87,15,-13,10.15,13.0,5.87,18.87,-5.77,11.47,-9.24,2.23
UC Santa Barbara,2011,Florida,First Round,2,79,15,51,28,-13,7.57,7.74,8.53,16.27,0.12,-1.32,2.53,1.22
Hampton,2011,Duke,First Round,1,87,16,45,42,-15,8.32,16.55,7.95,24.51,-8.77,-6.55,1.35,-5.2
Memphis,2011,Arizona,First Round,5,77,12,75,2,-7,7.99,11.12,5.42,16.54,3.14,4.94,1.97,6.91
Texas-San Antonio,2011,Ohio State,First Round,1,75,16,46,29,-15,8.38,13.39,12.45,25.84,-4.93,-1.8,-4.01,-5.8
Villanova,2011,George Mason,First Round,8,61,9,57,4,-1,1.37,6.01,5.65,11.66,8.23,8.23,6.82,15.05
Boston University,2011,Kansas,First Round,1,72,16,53,19,-15,7.62,15.48,8.62,24.1,-3.85,-3.87,1.39,-2.48
Wofford,2011,Brigham Young,First Round,3,74,14,66,8,-11,5.76,15.83,2.82,18.65,-1.21,4.08,0.27,4.35
UNC Asheville,2011,Pittsburgh,First Round,1,74,16,51,23,-15,7.85,9.54,11.28,20.82,-2.89,1.73,-2.42,-0.69
Oakland,2011,Texas,First Round,4,85,13,81,4,-9,7.96,9.52,11.3,20.82,0.1,15.9,-7.62,8.28
Indiana State,2011,Syracuse,First Round,3,77,14,60,17,-11,8.79,9.39,9.45,18.85,2.9,-0.19,3.6,3.41
Illinois,2011,UNLV,First Round,8,62,9,73,-11,-1,6.0,6.84,7.82,14.67,11.11,7.98,8.74,16.72
Morehead State,2011,Louisville,First Round,4,61,13,62,-1,-9,8.2,10.42,8.18,18.6,-3.13,-1.68,4.49,2.81
Utah State,2011,Kansas State,First Round,5,73,12,68,5,-7,8.41,7.55,7.04,14.59,0.5,1.88,11.35,13.23
Missouri,2011,Cincinnati,First Round,6,78,11,63,15,-5,6.1,3.69,11.72,15.41,6.5,14.73,0.04,14.77
Marquette,2011,Xavier,First Round,6,55,11,66,-11,-5,4.41,6.3,5.58,11.88,8.51,10.23,4.66,14.89
Georgia,2011,Washington,First Round,7,68,10,65,3,-3,7.74,18.29,1.83,20.12,6.13,3.47,6.97,10.43
Virginia Commonwealth,2011,Georgetown,First Round,6,56,11,74,-18,-5,10.39,7.15,7.47,14.61,3.78,6.2,2.36,8.56
St. Peter's,2011,Purdue,First Round,3,65,14,43,22,-11,8.69,9.34,10.02,19.36,-1.08,-8.05,7.77,-0.28
Gonzaga,2011,St. John's,First Round,6,71,11,86,-15,-5,10.01,6.41,6.69,13.1,4.01,8.59,5.27,13.86
Arkansas-Little Rock,2011,UNC Asheville,Play-In,16,81,16,77,4,0,-2.89,1.73,-2.42,-0.69,-2.97,-3.48,-0.85,-4.32
Clemson,2011,Alabama-Birmingham,Play-In,12,52,12,70,-18,0,2.78,1.49,7.07,8.55,6.58,3.37,10.39,13.76
Alabama State,2011,Texas-San Antonio,Play-In,16,70,16,61,9,0,-4.93,-1.8,-4.01,-5.8,-10.31,-11.22,-2.15,-13.37
Virginia Commonwealth,2011,Southern California,Play-In,11,46,11,59,-13,0,7.97,0.17,11.35,11.52,3.78,6.2,2.36,8.56
Duke,2010,Butler,National Championship,5,59,1,61,-2,4,5.08,2.5,11.87,14.37,9.21,13.17,12.04,25.21
Duke,2010,West Virginia,Final Four,2,57,1,78,-21,1,10.26,7.6,11.56,19.16,9.21,13.17,12.04,25.21
Butler,2010,Michigan State,Final Four,5,50,5,52,-2,0,8.17,7.35,7.99,15.33,5.08,2.5,11.87,14.37
Kansas State,2010,Butler,Elite Eight,5,63,2,56,7,3,5.08,2.5,11.87,14.37,10.28,14.47,5.41,19.88
West Virginia,2010,Kentucky,Elite Eight,1,66,2,73,-7,-1,6.82,13.3,7.84,21.13,10.26,7.6,11.56,19.16
Tennessee,2010,Michigan State,Elite Eight,5,70,6,69,1,-1,8.17,7.35,7.99,15.33,7.75,7.86,8.19,16.05
Baylor,2010,Duke,Elite Eight,1,78,3,71,7,-2,9.21,13.17,12.04,25.21,8.03,9.58,8.39,17.97
Cornell,2010,Kentucky,Sweet 16,1,62,12,45,17,-11,6.82,13.3,7.84,21.13,-0.91,7.2,1.55,8.76
Purdue,2010,Duke,Sweet 16,1,70,4,57,13,-3,9.21,13.17,12.04,25.21,8.81,6.09,11.43,17.52
Butler,2010,Syracuse,Sweet 16,1,59,5,63,-4,-4,7.21,14.9,6.82,21.72,5.08,2.5,11.87,14.37
St. Mary's (Cal.),2010,Baylor,Sweet 16,3,72,10,49,23,-7,8.03,9.58,8.39,17.97,2.2,10.03,3.35,13.38
Kansas State,2010,Xavier,Sweet 16,6,96,2,101,-5,4,5.94,14.53,1.69,16.23,10.28,14.47,5.41,19.88
West Virginia,2010,Washington,Sweet 16,11,56,2,69,-13,9,7.49,13.31,2.33,15.64,10.26,7.6,11.56,19.16
Ohio State,2010,Tennessee,Sweet 16,6,76,2,73,3,4,7.75,7.86,8.19,16.05,7.37,10.34,9.15,19.49
Michigan State,2010,Northern Iowa,Sweet 16,9,52,5,59,-7,4,4.27,-2.81,14.84,12.03,8.17,7.35,7.99,15.33
Murray St.,2010,Butler,Second Round,5,54,13,52,2,-8,5.08,2.5,11.87,14.37,-3.89,2.63,6.06,8.69
