team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Washington,2019,Utah State,First Round,8,61,9,78,-17,-1,0.89,6.8,5.17,11.98,7.01,1.22,10.79,12.01
Temple,2019,Belmont,Play-In,11,81,11,70,11,0,-2.6,11.35,-2.23,9.12,4.93,5.55,2.62,8.17
St. John's,2019,Arizona State,Play-In,11,74,11,65,9,0,6.04,8.06,2.22,10.28,5.5,7.7,0.18,7.88
North Dakota State,2019,North Carolina Central,Play-In,16,74,16,78,-4,0,-11.24,-9.24,-2.29,-11.53,-2.07,-1.85,-2.16,-4.01
Prairie View,2019,Fairleigh Dickinson,Play-In,16,82,16,76,6,0,-7.24,-0.7,-5.39,-6.09,-9.17,-0.86,-6.43,-7.29
Michigan,2018,Villanova,National Championship,1,79,3,62,17,-2,10.24,17.8,8.84,26.64,9.41,4.22,14.81,19.03
Kansas,2018,Villanova,Final Four,1,95,1,79,16,0,10.24,17.8,8.84,26.64,11.88,13.58,7.81,21.39
Michigan,2018,Loyola (Ill.),Final Four,11,57,3,69,-12,8,1.8,0.65,9.72,10.37,9.41,4.22,14.81,19.03
Michigan,2018,Florida State,Elite Eight,9,54,3,58,-4,6,8.5,12.0,3.78,15.78,9.41,4.22,14.81,19.03
Duke,2018,Kansas,Elite Eight,1,85,2,81,4,-1,11.88,13.58,7.81,21.39,9.7,16.41,8.02,24.43
Texas Tech,2018,Villanova,Elite Eight,1,71,3,59,12,-2,10.24,17.8,8.84,26.64,9.6,5.29,14.09,19.38
Loyola (Ill.),2018,Kansas State,Elite Eight,9,62,11,78,-16,-2,8.74,1.46,11.38,12.85,1.8,0.65,9.72,10.37
Texas A&M,2018,Michigan,Sweet 16,3,99,7,72,27,-4,9.41,4.22,14.81,19.03,10.62,6.36,8.95,15.3
Gonzaga,2018,Florida State,Sweet 16,9,75,4,60,15,5,8.5,12.0,3.78,15.78,2.6,12.4,6.04,18.44
Clemson,2018,Kansas,Sweet 16,1,80,5,76,4,-4,11.88,13.58,7.81,21.39,9.25,4.91,12.25,17.16
West Virginia,2018,Villanova,Sweet 16,1,90,5,78,12,-4,10.24,17.8,8.84,26.64,9.38,12.47,7.42,19.89
Kentucky,2018,Kansas State,Sweet 16,9,61,5,58,3,4,8.74,1.46,11.38,12.85,10.73,9.26,7.98,17.24
Duke,2018,Syracuse,Sweet 16,11,65,2,69,-4,9,10.02,-2.38,15.26,12.89,9.7,16.41,8.02,24.43
Purdue,2018,Texas Tech,Sweet 16,3,78,2,65,13,1,9.6,5.29,14.09,19.38,8.74,12.91,10.5,23.41
Nevada,2018,Loyola (Ill.),Sweet 16,11,69,7,68,1,4,1.8,0.65,9.72,10.37,4.93,12.64,1.8,14.44
Buffalo,2018,Kentucky,Second Round,5,95,13,75,20,-8,10.73,9.26,7.98,17.24,0.25,11.64,-3.66,7.99
Xavier,2018,Florida State,Second Round,9,75,1,70,5,8,8.5,12.0,3.78,15.78,9.43,15.18,3.88,19.06
Seton Hall,2018,Kansas,Second Round,1,83,8,79,4,-7,11.88,13.58,7.81,21.39,10.11,10.68,4.99,15.67
Alabama,2018,Villanova,Second Round,1,81,9,58,23,-8,10.24,17.8,8.84,26.64,10.64,4.15,8.19,12.34
Michigan State,2018,Syracuse,Second Round,11,55,3,53,2,8,10.02,-2.38,15.26,12.89,7.1,10.72,11.69,22.41
Auburn,2018,Clemson,Second Round,5,84,4,53,31,1,9.25,4.91,12.25,17.16,7.29,12.84,3.13,15.97
North Carolina,2018,Texas A&M,Second Round,7,86,2,65,21,5,10.62,6.36,8.95,15.3,11.78,15.41,4.66,20.07
Michigan,2018,Houston,Second Round,6,63,3,64,-1,3,4.16,7.34,8.65,15.99,9.41,4.22,14.81,19.03
Texas Tech,2018,Florida,Second Round,6,66,3,69,-3,3,10.08,8.15,8.52,16.66,9.6,5.29,14.09,19.38
Cincinnati,2018,Nevada,Second Round,7,75,2,73,2,5,4.93,12.64,1.8,14.44,3.53,3.05,17.2,20.25
Gonzaga,2018,Ohio State,Second Round,5,84,4,90,-6,1,9.02,7.67,10.0,17.67,2.6,12.4,6.04,18.44
West Virginia,2018,Marshall,Second Round,13,71,5,94,-23,8,0.44,10.29,-6.08,4.21,9.38,12.47,7.42,19.89
Purdue,2018,Butler,Second Round,10,73,2,76,-3,8,10.55,9.68,7.24,16.92,8.74,12.91,10.5,23.41
Kansas State,2018,Maryland-Baltimore County,Second Round,16,43,9,50,-7,7,-3.84,-2.3,0.28,-2.02,8.74,1.46,11.38,12.85
Tennessee,2018,Loyola (Ill.),Second Round,11,63,3,62,1,8,1.8,0.65,9.72,10.37,10.12,5.78,12.42,18.2
Duke,2018,Rhode Island,Second Round,7,62,2,87,-25,5,4.61,4.97,6.84,11.81,9.7,16.41,8.02,24.43
Montana,2018,Michigan,First Round,3,61,14,47,14,-11,9.41,4.22,14.81,19.03,-2.24,2.31,3.97,6.29
Butler,2018,Arkansas,First Round,7,62,10,79,-17,-3,9.85,11.86,2.91,14.76,10.55,9.68,7.24,16.92
Murray St.,2018,West Virginia,First Round,5,85,12,68,17,-7,9.38,12.47,7.42,19.89,-3.53,2.89,3.99,6.87
Lipscomb,2018,North Carolina,First Round,2,84,15,66,18,-13,11.78,15.41,4.66,20.07,-3.8,4.74,-6.84,-2.1
Marshall,2018,Wichita State,First Round,4,75,13,81,-6,-9,5.46,12.81,3.77,16.58,0.44,10.29,-6.08,4.21
Davidson,2018,Kentucky,First Round,5,78,12,73,5,-7,10.73,9.26,7.98,17.24,2.57,5.42,5.61,11.02
Maryland-Baltimore County,2018,Virginia,First Round,1,54,16,74,-20,-15,9.05,-1.75,23.95,22.2,-3.84,-2.3,0.28,-2.02
Bucknell,2018,Michigan State,First Round,3,82,14,78,4,-11,7.1,10.72,11.69,22.41,-3.46,6.85,-2.36,4.49
UNC Greensboro,2018,Gonzaga,First Round,4,68,13,64,4,-9,2.6,12.4,6.04,18.44,-3.87,-3.77,8.3,4.54
Kansas State,2018,Creighton,First Round,8,59,9,69,-10,-1,8.1,12.82,3.53,16.35,8.74,1.46,11.38,12.85
Loyola (Ill.),2018,Miami (Fla.),First Round,6,62,11,64,-2,-5,6.96,4.56,8.27,12.83,1.8,0.65,9.72,10.37
Buffalo,2018,Arizona,First Round,4,68,13,89,-21,-9,6.84,10.25,5.42,15.67,0.25,11.64,-3.66,7.99
Iona,2018,Duke,First Round,2,89,15,67,22,-13,9.7,16.41,8.02,24.43,-2.19,5.7,-4.95,0.75
Penn,2018,Kansas,First Round,1,76,16,60,16,-15,11.88,13.58,7.81,21.39,-3.16,0.03,2.22,2.24
Syracuse,2018,TCU,First Round,6,57,11,52,5,-5,9.68,13.36,3.02,16.38,10.02,-2.38,15.26,12.89
Radford,2018,Villanova,First Round,1,87,16,61,26,-15,10.24,17.8,8.84,26.64,-4.09,-7.39,4.78,-2.62
Alabama,2018,Virginia Tech,First Round,8,83,9,86,-3,-1,6.71,10.46,3.89,14.35,10.64,4.15,8.19,12.34
