2000-2001 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
216,William & Mary,17-Nov,0.4629,177,0.4862,,
217,Wichita St,19-Sep,0.4627,126,0.5098,,
218,Fairfield,16-Dec,0.4615,211,0.4725,,
219,Pennsylvania,17-Dec,0.4611,201,0.4768,,
220,Vermont,17-Dec,0.461,202,0.4768,,
,,,,,,,
,,,,,,,
221,Montana St,15-14,0.4591,293,0.4397,,
222,Fairleigh Dickinson,13-15,0.4587,247,0.4568,,
223,The Citadel,12-Dec,0.4583,276,0.4444,,
224,Duquesne,21-Sep,0.4581,124,0.5108,,
225,Davidson,17-Dec,0.4558,218,0.4698,,
226,Bucknell,15-Dec,0.4546,242,0.4579,,
227,Delaware St,13-15,0.4544,260,0.451,,
228,Harvard,14-12,0.4543,311,0.4262,,
229,Air Force,21-Aug,0.454,117,0.5134,,
230,Morehead St,16-Oct,0.4533,203,0.4762,,
,,,,,,,
,,,,,,,
231,San Francisco,18-Oct,0.4532,179,0.4852,,
232,Tulane,21-Jul,0.4508,102,0.5177,,
233,Wofford,16-Aug,0.4487,170,0.4871,,
234,Rhode Island,22-Jul,0.4477,108,0.5164,,
235,UNC Asheville,13-13,0.4466,308,0.4288,,
236,Towson,17-Dec,0.4457,249,0.4563,,
237,TX-Arlington,15-Nov,0.4448,254,0.4521,,
238,UL-Monroe,17-Sep,0.4447,198,0.4775,,
239,SW Texas St,15-Nov,0.4446,255,0.4517,,
240,Lehigh,16-Dec,0.4433,267,0.4482,,
,,,,,,,
,,,,,,,
241,Long Island,16-Dec,0.4429,268,0.4477,,
242,Loyola-Chicago,21-Jul,0.4403,132,0.5037,,
243,Northern Ariz,14-Dec,0.4402,307,0.433,,
244,Central Conn,14-14,0.4394,315,0.4193,,
245,Northern Iowa,24-Jun,0.4393,100,0.5191,,
246,North Carolina A&T,17-Dec,0.4384,271,0.4466,,
247,MD-East Shore,16-Dec,0.4381,287,0.4413,,
248,Portland,17-Aug,0.4371,205,0.4761,,
249,Jacksonville St,18-Sep,0.4363,215,0.4706,,
250,Tenn-Martin,18-Jul,0.4357,169,0.4876,,
,,,,,,,
,,,,,,,
251,IUPUI,18-Sep,0.4356,219,0.4697,,
252,Florida Intl,21-Jul,0.4342,148,0.4956,,
253,Colgate,15-Oct,0.4331,279,0.4441,,
254,American,20-Jul,0.4319,160,0.4894,,
255,Yale,17-Oct,0.4302,263,0.4501,,
256,Columbia,15-Oct,0.4292,295,0.4389,,
257,Western Mich,21-Jul,0.4291,165,0.4888,,
258,Oral Roberts,19-Jul,0.428,189,0.4809,,
259,Lafayette,16-Oct,0.4276,286,0.4419,,
260,Montana,16-Sep,0.4275,264,0.45,,
,,,,,,,
,,,,,,,
261,Florida Atl,22-Jul,0.4272,163,0.4891,,
262,New Hampshire,21-Jul,0.4263,180,0.4851,,
263,Tennessee St,19-Aug,0.4259,220,0.4691,,
264,Appalachian St,19-Sep,0.4251,241,0.4597,,
265,Denver,18-Aug,0.4244,234,0.4633,,
266,Loyola-Marymnt,19-Aug,0.424,224,0.4666,,
267,St. Peter's,24-Apr,0.423,107,0.5164,,
268,St. Francis-PA,18-Sep,0.4227,251,0.4525,,
269,Furman,16-Sep,0.4216,284,0.4421,,
270,Belmont,15-Oct,0.4214,310,0.4285,,
,,,,,,,
,,,,,,,
271,Western Ill,22-May,0.421,140,0.4997,,
272,UCF,22-Jul,0.4207,191,0.4805,,
273,TAMU-CC,14-Nov,0.416,319,0.408,,
274,Howard,18-Oct,0.4145,305,0.4336,,
275,Loyola-Maryland,23-Jun,0.4126,188,0.4812,,
276,Buffalo,24-Apr,0.4123,134,0.5022,,
277,Cal Poly,18-May,0.4121,200,0.477,,
278,Southern U,16-Nov,0.4101,318,0.411,,
279,Idaho,21-Apr,0.4092,154,0.4923,,
280,Liberty,15-Oct,0.4092,317,0.4123,,
,,,,,,,
,,,,,,,
281,Bethune-Cookman,18-Aug,0.4087,283,0.4423,,
282,Lamar,18-Aug,0.4085,285,0.4421,,
283,Portland St,18-Aug,0.4076,288,0.4409,,
284,Grambling,18-Aug,0.4074,292,0.4406,,
