2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
134,San Francisco,14-14,0.5131,0.5245,0.5034,109,0.5175,,
135,Murray St,15-12,0.5109,0.4973,0.4936,157,0.4961,,
136,UCLA,19-Oct,0.5109,0.578,0.5427,31,0.5662,,
137,Ball State,13-17,0.5103,0.5495,0.5086,75,0.5359,,
138,Pepperdine,15-13,0.5099,0.4991,0.5057,143,0.5013,,
139,St. Mary's,14-15,0.5095,0.5275,0.5002,106,0.5184,,
140,St. Bonaventure,13-14,0.5081,0.5095,0.5319,110,0.517,,
,,,,,,,,,
,,,,,,,,,
141,Ohio,14-16,0.5076,0.5271,0.5098,99,0.5213,,
142,Tulane,15-15,0.5076,0.5039,0.5227,123,0.5102,,
143,Belmont,16-12,0.5068,0.4862,0.4836,183,0.4853,,
144,Vermont,19-10,0.5066,0.4475,0.4762,265,0.4571,,
145,Middle Tenn St,14-14,0.5063,0.5141,0.4971,126,0.5085,,
146,Brown,17-11,0.5062,0.4686,0.4805,231,0.4726,,
147,Princeton,15-11,0.5062,0.4807,0.4864,193,0.4826,,
148,Miami-Ohio,15-Dec,0.5058,0.5312,0.5166,89,0.5263,,
149,Southern Miss,13-16,0.5058,0.5267,0.5214,94,0.525,,
150,Ark-Little Rock,16-12,0.5054,0.4769,0.4964,190,0.4834,,
,,,,,,,,,
,,,,,,,,,
151,South Alabama,14-Dec,0.5042,0.5273,0.5005,105,0.5184,,
152,Evansville,16-Dec,0.5037,0.5391,0.5079,84,0.5287,,
153,Iona,17-12,0.5034,0.4674,0.4924,223,0.4758,,
154,Delaware,15-14,0.5033,0.5034,0.489,150,0.4986,,
155,Davidson,14-10,0.5025,0.4654,0.4957,224,0.4755,,
156,East Carolina,15-Oct,0.5013,0.535,0.535,78,0.535,,
157,Oregon St,15-Dec,0.5003,0.5117,0.5335,101,0.519,,
158,Air Force,16-Dec,0.4998,0.5262,0.5181,95,0.5235,,
159,Loyola-Chicago,15-16,0.4991,0.5034,0.5056,137,0.5041,,
160,IUPUI,19-13,0.4982,0.4598,0.4795,242,0.4664,,
,,,,,,,,,
,,,,,,,,,
161,Washington,17-Oct,0.4981,0.5418,0.5386,69,0.5407,,
162,Appalachian St,16-10,0.497,0.4382,0.4962,263,0.4576,,
163,Yale,13-13,0.4962,0.4985,0.4878,158,0.4949,,
164,George Wash,17-Dec,0.4959,0.5273,0.5151,96,0.5232,,
165,Hartford,15-13,0.4957,0.4918,0.4634,195,0.4823,,
166,American,16-14,0.4947,0.4892,0.467,200,0.4818,,
167,Toledo,13-16,0.4942,0.5094,0.5098,125,0.5095,,
168,New Mexico,18-Sep,0.4934,0.5589,0.5222,63,0.5467,,
169,Northwestern,17-Dec,0.4933,0.5133,0.5331,100,0.5199,,
170,Oral Roberts,17-10,0.4913,0.432,0.4715,298,0.4452,,
,,,,,,,,,
,,,,,,,,,
171,Bowling Green,16-Nov,0.4911,0.5246,0.5077,102,0.5189,,
172,La Salle,17-Dec,0.4902,0.5114,0.5241,113,0.5156,,
173,Denver,17-15,0.4902,0.4641,0.5011,217,0.4765,,
174,TX-Arlington,14-13,0.4899,0.4835,0.4743,207,0.4804,,
