2016-2017 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
248,Eastern Kentucky,19-Oct,0.4517,8.8,16.6,0.3465,0.4920 (178),0.4763,194,0.4868,,
249,SE Louisiana,14-16,0.4512,12.4,12.4,0.5,0.4242 (320),0.4566,322,0.435,,
250,UIC,13-18,0.4509,12.6,18,0.4118,0.4544 (270),0.483,263,0.464,,
,,,,,,,,,,,,
,,,,,,,,,,,,
251,Air Force,21-Oct,0.4502,6.4,19.4,0.2481,0.5280 (103),0.4969,114,0.5176,,
252,Youngstown St,21-Nov,0.4499,10.2,19,0.3493,0.4809 (211),0.4884,205,0.4834,,
253,Nicholls St,17-Oct,0.4495,8.8,12.6,0.4112,0.4599 (256),0.4669,272,0.4622,,
254,Montana St,14-16,0.4495,11.6,14,0.4531,0.4428 (302),0.4591,303,0.4482,,
255,Missouri,24-Aug,0.4484,5.6,24.8,0.1842,0.5382 (85),0.533,82,0.5365,,
256,James Madison,23-Sep,0.4481,8.2,21.4,0.277,0.5107 (141),0.494,143,0.5051,,
257,St. Francis (PA),15-16,0.4476,15.4,14.4,0.5168,0.4085 (337),0.4566,335,0.4245,,
258,UW Milwaukee,24-Oct,0.4465,9.2,22,0.2949,0.5054 (155),0.4802,164,0.497,,
259,Kennesaw St,18-Dec,0.4459,12,14.8,0.4478,0.4373 (308),0.4613,312,0.4453,,
260,Cleveland St,22-Aug,0.4458,6.4,18.8,0.254,0.5220 (114),0.4852,134,0.5097,,
,,,,,,,,,,,,
,,,,,,,,,,,,
261,Austin Peay,19-Sep,0.4452,9.4,17.8,0.3456,0.4803 (214),0.4746,226,0.4784,,
262,Columbia,16-Oct,0.4448,9.2,14.4,0.3898,0.4520 (275),0.4855,267,0.4632,,
263,Manhattan,22-Oct,0.4445,8.4,19.6,0.3,0.4949 (174),0.4881,174,0.4926,,
264,UT San Antonio,19-Dec,0.4432,9.2,14.2,0.3932,0.4528 (273),0.4742,277,0.4599,,
265,Eastern Illinois,15-Dec,0.4426,12,13.8,0.4651,0.4163 (328),0.4729,321,0.4351,,
266,Duquesne,22-Oct,0.4417,7.2,21.6,0.25,0.5033 (157),0.51,141,0.5055,,
267,Army,19-Dec,0.4411,10.4,17.8,0.3688,0.4592 (259),0.4772,257,0.4652,,
268,Portland St,16-Dec,0.439,10.8,12.4,0.4655,0.4146 (332),0.4611,329,0.4301,,
269,CS Fullerton,15-14,0.4387,12.6,12,0.5122,0.3868 (342),0.4691,341,0.4142,,
270,Cornell,21-Jul,0.4385,7.8,19.4,0.2868,0.4923 (177),0.4826,186,0.4891,,
,,,,,,,,,,,,
,,,,,,,,,,,,
271,Western Carolina,23-Jul,0.4382,6.6,21,0.2391,0.5110 (140),0.4918,147,0.5046,,
272,Quinnipiac,21-Oct,0.4375,8.8,20.2,0.3034,0.4797 (215),0.4873,211,0.4822,,
273,Fairleigh Dickinson,19-Oct,0.4355,8.8,15,0.3697,0.4564 (267),0.4595,284,0.4575,,
274,SE Missouri St,13-18,0.4355,11.4,15.2,0.4286,0.4157 (330),0.4821,319,0.4378,,
275,Niagara,23-Oct,0.4355,9.6,21,0.3137,0.4733 (226),0.4816,229,0.4761,,
276,Marist,24-Aug,0.4354,6.8,21.6,0.2394,0.5088 (146),0.4845,153,0.5007,,
277,Tennessee Tech,20-Oct,0.4349,10,18.8,0.3472,0.4602 (255),0.4721,261,0.4642,,
278,UM Eastern Shore,20-Dec,0.4343,12,16,0.4286,0.4327 (314),0.4431,320,0.4362,,
279,Savannah St,16-Nov,0.4342,11.4,13.6,0.456,0.4155 (331),0.4499,333,0.427,,
280,Seattle,17-Oct,0.434,8.8,16.2,0.352,0.4487 (285),0.4864,273,0.4613,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
281,Oregon St,27-Apr,0.4336,2.4,26.6,0.0828,0.5609 (60),0.5301,64,0.5506,,
282,Florida Atlantic,20-Aug,0.4334,8.8,20.4,0.3014,0.4755 (221),0.4811,228,0.4774,,
283,The Citadel,21-Sep,0.4332,8.2,19.4,0.2971,0.4718 (233),0.4921,225,0.4786,,
284,Hampton,16-Dec,0.4329,11.2,14,0.4444,0.4219 (323),0.4433,330,0.4291,,
285,Brown,17-Nov,0.4329,9.8,16.6,0.3712,0.4400 (306),0.4803,294,0.4534,,
286,Bryant,20-Nov,0.4322,8.6,16,0.3496,0.4625 (252),0.4544,278,0.4598,,
287,Northern Colorado,18-Sep,0.4315,9,16,0.36,0.4489 (284),0.468,291,0.4553,,
288,Detroit,23-Jul,0.4315,6.6,21.4,0.2357,0.4979 (166),0.4943,165,0.4967,,
289,Abilene Christian,16-Sep,0.4312,8.6,13.6,0.3874,0.4359 (309),0.4658,309,0.4459,,
290,NJIT,20-Sep,0.4305,7.4,15.6,0.3217,0.4666 (244),0.4669,253,0.4667,,
,,,,,,,,,,,,
,,,,,,,,,,,,
291,Jacksonville,13-15,0.4303,15,13.8,0.5208,0.3679 (348),0.4645,344,0.4001,,
292,Oral Roberts,22-Jun,0.4296,4.4,19.2,0.1864,0.5176 (119),0.4966,133,0.5106,,
293,Sacramento St,18-Nov,0.4288,10.2,15.6,0.3953,0.4284 (318),0.4632,317,0.44,,
294,Colgate,22-Sep,0.4288,10.2,20.4,0.3333,0.4496 (282),0.4826,275,0.4606,,
295,Charleston Southern,19-Sep,0.4286,7.8,16.2,0.325,0.4556 (269),0.4782,268,0.4631,,
296,Cal Poly,20-Sep,0.4278,9.4,18,0.3431,0.4482 (287),0.4716,289,0.456,,
297,UL Monroe,24-Jul,0.4277,6.2,22.4,0.2168,0.5066 (150),0.4806,162,0.4979,,
298,Tulane,25-Jun,0.4276,5.2,25.4,0.1699,0.5090 (144),0.5225,125,0.5135,,
299,Hawai'i,13-16,0.4273,10.2,17.2,0.3723,0.4344 (312),0.4682,311,0.4457,,
300,Appalachian St,21-Jul,0.4272,5,17.8,0.2193,0.4960 (172),0.4975,166,0.4965,,
,,,,,,,,,,,,
,,,,,,,,,,,,
301,Miami (OH),21-Sep,0.4263,6.2,19,0.246,0.4858 (197),0.4877,197,0.4864,,
302,South Carolina St,20-Sep,0.4261,9,16,0.36,0.4484 (286),0.4477,304,0.4482,,
303,Incarnate Word,17-Aug,0.4261,6.4,14.2,0.3107,0.4634 (249),0.4668,258,0.4646,,
304,Sacred Heart,13-19,0.4259,13,18.2,0.4167,0.4143 (333),0.4582,331,0.429,,
305,Dartmouth,20-Jul,0.4256,7.4,19.2,0.2782,0.4717 (234),0.4808,236,0.4747,,
306,Northwestern St,16-Sep,0.4255,9.8,14.4,0.405,0.4114 (335),0.4742,325,0.4323,,
307,Prairie View A&M,20-Nov,0.4252,9,14.4,0.3846,0.4358 (310),0.4445,318,0.4387,,
308,Drexel,23-Aug,0.4243,8,20.6,0.2797,0.4594 (258),0.4986,242,0.4725,,
309,UMass-Lowell,20-Oct,0.4235,8,16.8,0.3226,0.4516 (277),0.4683,285,0.4572,,
310,American,22-Aug,0.4232,8,22,0.2667,0.4749 (223),0.4762,234,0.4753,,
,,,,,,,,,,,,
,,,,,,,,,,,,
311,Central Arkansas,24-Aug,0.4228,7.2,20,0.2647,0.4768 (218),0.4731,232,0.4755,,
312,Binghamton,20-Sep,0.4219,8.2,17.6,0.3178,0.4496 (281),0.4706,287,0.4566,,
313,CS Northridge,18-Oct,0.4201,9.2,17.2,0.3485,0.4276 (319),0.4768,313,0.444,,
314,Drake,23-Jun,0.4192,4.4,22.6,0.163,0.5056 (153),0.5025,146,0.5046,,
315,McNeese St,21-May,0.4187,5.4,19.8,0.2143,0.4994 (164),0.4617,193,0.4869,,
316,South Florida,23-Jul,0.417,5,22.6,0.1812,0.4887 (189),0.5095,168,0.4957,,
317,Chicago St,26-Mar,0.4151,3.8,22,0.1473,0.5143 (127),0.4844,148,0.5044,,
318,Grambling St,13-17,0.4147,11.4,13,0.4672,0.3757 (346),0.4403,347,0.3972,,
319,UT Rio Grande Valley,22-Jul,0.4147,5.8,19.2,0.232,0.4768 (217),0.4733,231,0.4756,,
320,Southern U,13-17,0.4142,11,13,0.4583,0.3799 (345),0.4387,345,0.3995,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
321,Lafayette,21-Aug,0.4142,8,20.6,0.2797,0.4492 (283),0.4787,283,0.459,,
322,Jackson St,17-Dec,0.4136,10.4,12.6,0.4522,0.3812 (343),0.4396,343,0.4007,,
323,Maine,25-Jun,0.4122,6,23,0.2069,0.4829 (207),0.4759,220,0.4806,,
324,UC Santa Barbara,22-May,0.4113,3.8,20.4,0.157,0.5087 (147),0.4709,167,0.4961,,
325,Western Illinois,20-Jun,0.4094,6,18.8,0.2419,0.4566 (266),0.4826,256,0.4652,,
326,Morgan St,13-16,0.4072,11.8,14,0.4574,0.3647 (349),0.442,349,0.3904,,
327,Hartford,23-Sep,0.4051,7.8,20.2,0.2786,0.4343 (313),0.4732,307,0.4472,,
328,Stetson,21-Aug,0.4034,7.6,18.6,0.2901,0.4297 (316),0.4642,314,0.4412,,
329,VMI,24-Apr,0.4027,3.2,22,0.127,0.4956 (173),0.4927,170,0.4946,,
330,UC Riverside,21-Jun,0.3989,6,19.4,0.2362,0.4459 (294),0.4676,296,0.4531,,
,,,,,,,,,,,,
,,,,,,,,,,,,
331,Southern Miss,22-Jul,0.3956,5,19.6,0.2033,0.4513 (278),0.4767,279,0.4597,,
332,Delaware St,22-Aug,0.3951,9.6,19.2,0.3333,0.4055 (338),0.436,339,0.4157,,
333,SIU-E,23-May,0.3943,5,21.4,0.1894,0.4590 (260),0.4699,271,0.4627,,
334,Miss Valley St,25-Jul,0.3938,5.8,18.6,0.2377,0.4437 (298),0.4501,310,0.4458,,
335,Northern Arizona,23-Aug,0.3917,6.8,21,0.2446,0.4320 (315),0.458,316,0.4407,,
336,Coppin St,23-Jul,0.39,6.6,18.6,0.2619,0.4237 (321),0.4506,324,0.4327,,
337,Florida Intl,24-May,0.3873,3.8,22.4,0.145,0.4643 (247),0.4758,250,0.4681,,
338,Howard,24-Aug,0.3873,7.2,20,0.2647,0.4190 (327),0.4463,332,0.4281,,
339,North Texas,22-Jun,0.3863,4.4,22,0.1667,0.4532 (272),0.4719,281,0.4595,,
340,Idaho St,26-Apr,0.3794,3.2,22.4,0.125,0.4644 (246),0.464,260,0.4643,,
,,,,,,,,,,,,
,,,,,,,,,,,,
341,Southern Utah,27-Apr,0.3777,4.4,25.4,0.1477,0.4538 (271),0.4554,293,0.4543,,
342,Alabama St,23-Jul,0.373,5.4,18.2,0.2288,0.4160 (329),0.431,337,0.421,,
343,Longwood,24-Apr,0.3721,3.2,21.6,0.129,0.4435 (299),0.4724,295,0.4531,,
344,Central Connecticut,23-Jun,0.3654,6,21,0.2222,0.3922 (341),0.4548,342,0.4131,,
345,UA Pine Bluff,24-Jun,0.3652,4.4,18.4,0.193,0.4141 (334),0.4395,336,0.4226,,
346,Bethune Cookman,22-Aug,0.3647,6.8,18.8,0.2656,0.3805 (344),0.4322,346,0.3978,,
347,Presbyterian,25-Mar,0.3641,1.8,21.4,0.0776,0.4511 (279),0.4767,280,0.4597,,
348,St. Francis (NY),27-Mar,0.3452,2.2,24.6,0.0821,0.4206 (325),0.4576,323,0.4329,,
349,Florida A&M,23-May,0.3355,5.4,22.2,0.1957,0.3589 (350),0.4285,351,0.3821,,
350,North Carolina A&T,29-Jan,0.3164,0.6,25.8,0.0227,0.4026 (339),0.4378,340,0.4144,,
,,,,,,,,,,,,
,,,,,,,,,,,,
351,Alabama A&M,27-Feb,0.3146,2,23.4,0.0787,0.3699 (347),0.4397,348,0.3932,,
"© 1994-2011 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,,,,,,
