2007-2008 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Mar 18 2008, 12:41 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
71,Florida,21-11,0.5541,16.2,10.2,0.6136,0.5363 (88),0.5303,87,0.5343,,,,
72,Miami (OH),17-15,0.5535,15,12.2,0.5515,0.5696 (42),0.5234,54,0.5542,,,,
73,Nevada,20-11,0.5535,18,8.2,0.687,0.5121 (132),0.5027,132,0.509,,,,
74,Texas Tech,15-15,0.5532,10.2,12.2,0.4554,0.6099 (5),0.5379,5,0.5859,,,,
75,Akron,23-10,0.5529,20.2,9.2,0.6871,0.5111 (135),0.5024,135,0.5082,,,,
76,Ohio,19-12,0.5526,16.2,8.8,0.648,0.5250 (107),0.5123,109,0.5208,,,,
77,Rhode Island,21-11,0.5524,18.6,10.2,0.6458,0.5193 (113),0.5252,107,0.5213,,,,
78,Oklahoma St,16-15,0.5523,12,13,0.48,0.5878 (16),0.5538,12,0.5764,,,,
79,Belmont,24-8,0.5517,23.6,6.4,0.7867,0.4736 (218),0.4729,229,0.4733,,,,
80,CS Fullerton,23-8,0.5515,22.6,7.2,0.7584,0.4828 (195),0.4822,199,0.4826,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
81,Houston,22-9,0.551,17.2,7.8,0.688,0.5037 (153),0.5086,146,0.5053,,,,
82,San Diego St,19-12,0.5509,17.4,10.4,0.6259,0.5347 (91),0.5083,99,0.5259,,,,
83,Arizona St,19-12,0.5496,15.4,11.2,0.5789,0.5387 (86),0.5421,77,0.5398,,,,
84,Austin Peay,24-10,0.5494,22,7.2,0.7534,0.4910 (177),0.4619,205,0.4813,,,,
85,Maryland,18-14,0.5488,14.8,14.8,0.5,0.5772 (33),0.541,31,0.5651,,,,
86,Wright St,21-10,0.5481,18.6,8.8,0.6788,0.4993 (160),0.515,148,0.5046,,,,
87,Boise St,24-8,0.547,24.8,8.8,0.7381,0.4828 (194),0.4846,196,0.4834,,,,
88,UMBC,23-8,0.5462,21.8,5.6,0.7956,0.4582 (258),0.4727,264,0.4631,,,,
89,UC Santa Barbara,22-8,0.5459,22,7.6,0.7432,0.4756 (212),0.4894,208,0.4802,,,,
90,Portland St,21-9,0.5452,20.6,6.6,0.7574,0.4749 (214),0.4737,227,0.4745,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
91,American,21-11,0.5441,20.6,9.8,0.6776,0.5104 (137),0.4781,158,0.4996,,,,
