1997-1998 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
215,TX-San Antonio,15-10,0.4527,304,0.4036,,
216,Morgan St,16-Dec,0.4525,222,0.4605,,
217,Yale,14-Nov,0.452,231,0.456,,
218,East Carolina,17-Sep,0.4515,173,0.4867,,
219,Fordham,21-Jun,0.4506,91,0.5267,,
220,Bucknell,15-Dec,0.4499,245,0.4517,,
,,,,,,,
,,,,,,,
221,The Citadel,12-Dec,0.4494,282,0.4326,,
222,Tulane,22-Jul,0.4492,104,0.5185,,
223,VMI,13-Oct,0.4475,246,0.4517,,
224,Northern Iowa,17-Oct,0.4465,203,0.4719,,
225,Houston,20-Aug,0.4465,136,0.5,,
226,Samford,12-Dec,0.4446,291,0.4262,,
227,Jackson St,13-Oct,0.4444,256,0.4477,,
228,Cal Poly,14-Nov,0.4438,264,0.445,,
229,UNC Greensboro,17-Aug,0.4431,179,0.4841,,
230,Grambling,11-Dec,0.443,298,0.4168,,
,,,,,,,
,,,,,,,
231,New Hampshire,17-Sep,0.4421,196,0.4741,,
232,Northwestern St,14-Nov,0.4421,267,0.4428,,
233,North Texas,21-May,0.4417,94,0.5248,,
234,Northern Ill,16-Sep,0.4407,210,0.4676,,
235,Texas A&M,20-Jul,0.4406,135,0.501,,
236,Wagner,16-Dec,0.4396,265,0.4433,,
237,Stetson,14-Oct,0.439,259,0.4464,,
238,Columbia,15-Oct,0.4376,251,0.4502,,
239,Towson,20-Aug,0.4375,169,0.4881,,
240,TX-Arlington,16-Nov,0.437,258,0.4469,,
,,,,,,,
,,,,,,,
241,CS-Northridge,15-Sep,0.4354,232,0.4556,,
242,UC Irvine,18-Jul,0.4354,171,0.4872,,
243,St. Peter's,19-Aug,0.4346,186,0.4807,,
244,Wis-Milwaukee,24-Mar,0.4345,67,0.5423,,
245,VCU,19-Sep,0.433,206,0.4702,,
246,Colgate,17-Oct,0.4324,241,0.453,,
247,Western Car,15-Sep,0.4299,255,0.4482,,
248,Jacksonville,19-Aug,0.4283,201,0.4723,,
249,Long Beach,19-Oct,0.427,238,0.4544,,
250,Stephen F. Austin,16-Sep,0.4269,253,0.4492,,
,,,,,,,
,,,,,,,
251,Ohio,21-May,0.4262,128,0.5042,,
252,San Jose St,23-Mar,0.4235,92,0.5262,,
253,Central Mich,21-Apr,0.4219,118,0.5091,,
254,MD-Baltimore Co,14-Nov,0.4206,300,0.4142,,
255,Loyola-Marymnt,20-Jun,0.4198,183,0.4828,,
256,Cornell,17-Aug,0.4198,242,0.453,,
257,TX-Pan American,24-Mar,0.4195,100,0.5223,,
258,Maine,20-May,0.4173,162,0.4897,,
259,Florida Atl,21-May,0.4165,157,0.4912,,
260,Missouri-KC,18-Jul,0.416,219,0.4613,,
,,,,,,,
,,,,,,,
261,Centenary,20-Oct,0.4156,266,0.443,,
262,Prairie View A&M,15-Sep,0.4155,287,0.429,,
263,Sam Houston,17-Sep,0.4154,274,0.4385,,
264,Lehigh,17-Aug,0.4147,260,0.4463,,
265,Florida A&M,17-Nov,0.4146,294,0.4218,,
266,East Tenn St,16-Sep,0.4134,284,0.4311,,
267,Campbell,17-Jul,0.413,239,0.4534,,
268,Alcorn St,15-Aug,0.4123,279,0.4338,,
269,Norfolk St,20-May,0.4122,182,0.4829,,
270,Tennessee Tech,20-Jul,0.4102,221,0.4605,,
,,,,,,,
,,,,,,,
271,Dartmouth,19-Jul,0.4095,230,0.4562,,
272,UC Santa Barbara,19-May,0.4064,200,0.4724,,
273,Wofford,18-Jun,0.406,229,0.458,,
274,Georgia So,17-Jul,0.4045,268,0.4422,,
275,Jacksonville St,14-Oct,0.404,305,0.3997,,
276,MD-East Shore,18-Sep,0.4032,290,0.4265,,
277,Brown,20-Jun,0.4031,223,0.4605,,
278,Tenn-Martin,20-Jun,0.4017,227,0.4587,,
279,Delaware St,18-Jun,0.4009,248,0.4512,,
280,North Carolina A&T,18-Jul,0.3999,272,0.4399,,
,,,,,,,
,,,,,,,
281,Southern U,13-Oct,0.3999,306,0.3882,,
282,Liberty,16-Aug,0.3981,296,0.4196,,
283,Robert Morris,19-Jul,0.3925,280,0.4336,,
284,Army,19-Jul,0.3905,285,0.4309,,
285,McNeese St,19-Jun,0.3902,271,0.4402,,
286,Monmouth,23-Apr,0.39,205,0.4706,,
287,Southern Utah,20-May,0.3898,240,0.453,,
288,Alabama St,16-Aug,0.3896,301,0.4084,,
289,Idaho St,18-May,0.3888,262,0.4459,,
290,Furman,19-Jul,0.3874,289,0.4268,,
,,,,,,,
,,,,,,,
291,Holy Cross,20-Jul,0.3838,293,0.4253,,
292,Drake,24-Feb,0.3825,178,0.4844,,
293,Howard,20-Aug,0.3823,299,0.4145,,
