1995-1996 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
128,Wyoming,15-Nov,0.5063,74,0.534,,
129,Valparaiso,19-10,0.5062,241,0.4566,,
130,UNC Greensboro,20-9,0.5062,268,0.445,,
,,,,,,,
,,,,,,,
131,Long Beach,16-11,0.5057,194,0.4767,,
132,Bowling Green,13-Dec,0.5046,115,0.5128,,
133,Rutgers,18-Aug,0.5042,24,0.5697,,
134,UNC Wilmington,13-16,0.5036,91,0.522,,
135,Colorado,18-Sep,0.5032,41,0.5599,,
136,Drake,15-Dec,0.5032,89,0.5227,,
137,Towson,15-12,0.5028,169,0.4853,,
138,Pittsburgh,17-Oct,0.5028,58,0.5469,,
139,Xavier,13-15,0.5028,112,0.5156,,
140,San Diego,13-14,0.5027,125,0.5097,,
,,,,,,,
,,,,,,,
141,St. Mary's,15-Dec,0.4999,99,0.5183,,
142,Oral Roberts,16-9,0.4998,251,0.453,,
143,Nevada,16-13,0.4994,178,0.4819,,
144,Marshall,16-11,0.4988,213,0.4675,,
145,Old Dominion,17-13,0.4984,196,0.4756,,
146,Mississippi,15-Nov,0.4983,86,0.5233,,
147,Hawaii,17-Nov,0.4974,75,0.5322,,
148,Dartmouth,15-10,0.4972,221,0.463,,
149,Notre Dame,18-Sep,0.4971,55,0.5517,,
150,Ohio State,17-Oct,0.4971,68,0.5393,,
,,,,,,,
,,,,,,,
151,Miss Valley St,18-6,0.497,297,0.4127,,
152,Arizona St,16-Nov,0.4969,84,0.5267,,
153,South Florida,16-Dec,0.4966,96,0.5193,,
154,Boise St,14-12,0.4966,175,0.4826,,
155,St. Bonaventure,18-Oct,0.4958,66,0.542,,
156,LA-Monroe,15-13,0.4955,177,0.4821,,
157,Jacksonville,15-13,0.4954,179,0.4819,,
158,Loyola-Maryland,15-Nov,0.4941,102,0.5178,,
159,Coppin St,17-10,0.4928,266,0.4472,,
160,St. Francis-PA,13-14,0.4917,149,0.4951,,
,,,,,,,
,,,,,,,
161,Creighton,13-15,0.4904,141,0.4991,,
162,South Carolina St,20-7,0.4899,301,0.4062,,
163,Colgate,15-14,0.4891,183,0.4797,,
164,Tennessee St,15-12,0.4889,215,0.4667,,
165,Delaware,13-12,0.4889,185,0.4785,,
166,Jackson St,14-13,0.4885,186,0.4785,,
167,VMI,15-10,0.4881,252,0.4508,,
168,Utah St,14-15,0.4875,163,0.4891,,
169,Pacific,14-12,0.4862,209,0.4688,,
170,San Diego St,13-14,0.4862,166,0.4877,,
,,,,,,,
,,,,,,,
171,East Carolina,16-11,0.4853,257,0.4496,,
172,Campbell,15-11,0.4852,245,0.4546,,
173,Kent,13-13,0.4845,184,0.4794,,
174,Texas A&M,16-Nov,0.4841,126,0.5097,,
175,Samford,14-11,0.4841,232,0.4588,,
176,Western Ill,15-12,0.4838,229,0.4599,,
