Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
104,Texas,Big 12,,14,17,79.5,81.4,-1.94,,6.47,,11.15,-6.61,4.53,,,
105,College of Charleston,TAAC (East),,24,6,70.1,55.4,14.67,,-9.03,,-6.69,11.13,4.44,,,
106,Bradley,MVC,,15,14,64.6,61.1,3.45,,2.12,,-5.24,9.47,4.23,,,
107,St. Bonaventure,A-10 (East),,17,15,65.8,65.1,0.69,,3.42,,-3.75,7.86,4.11,,,
108,Texas Tech,Big 12,,13,14,77.3,78.6,-1.30,,5.37,,7.10,-3.03,4.07,,,
109,Green Bay,MW Coll,,17,12,64.4,59.9,4.52,,-0.57,,-5.84,9.77,3.93,,,
110,New Mexico State,Big West (East),,18,12,75.0,69.0,6.03,,0.07,,2.27,1.49,3.76,,,
111,Miami (OH),MAC (East),,17,12,69.2,66.6,2.55,,1.94,,-2.52,6.14,3.62,,,
112,Indiana State,MVC,,16,11,69.4,66.6,2.81,,0.64,,-0.41,3.87,3.46,,,
113,William & Mary,CAA,,20,7,69.9,61.8,8.15,,-4.00,,0.06,3.24,3.31,,,
114,Virginia Tech,A-10 (West),,10,17,66.2,67.6,-1.44,,4.66,,-2.90,6.11,3.21,,,
115,Baylor,Big 12,,14,14,70.4,72.1,-1.71,,4.90,,-0.62,3.80,3.19,,,
116,Fairleigh Dickinson,NEC,,23,7,83.7,75.1,8.60,,-5.38,,9.43,-6.54,2.90,,,
117,Montana State,Big Sky,,19,11,79.9,69.9,10.07,,-3.96,,4.09,-1.33,2.76,,,
118,South Florida,CUSA (National),,17,13,65.8,66.3,-0.47,,3.16,,-2.69,5.39,2.69,,,
119,Pittsburgh,Big East (Big East 7),,11,16,73.6,76.9,-3.30,,5.95,,6.62,-3.96,2.66,,,
120,Long Island University,NEC,,21,11,96.9,86.8,10.19,,-2.04,,20.54,-17.92,2.62,,,
121,Florida International,TAAC (East),,21,8,87.3,79.1,8.21,,-5.67,,14.35,-11.81,2.54,,,
122,Boise State,Big West (East),,17,13,72.4,69.1,3.30,,-0.53,,-0.65,3.11,2.47,,,
123,Northwestern,Big Ten,,10,17,60.6,63.9,-3.26,,5.59,,-8.14,10.47,2.33,,,
124,Colorado,Big 12,,13,14,71.4,73.0,-1.56,,4.45,,2.72,-0.57,2.15,,,
125,Southern California,Pac-10,,9,19,75.0,80.4,-5.36,,7.48,,6.05,-3.93,2.12,,,
126,Idaho,Big West (East),,15,12,70.7,68.6,2.15,,0.73,,-1.43,3.52,2.09,,,
127,Ohio State,Big Ten,,8,22,65.9,72.8,-6.90,,8.73,,-0.99,2.82,1.83,,,
128,Southern Illinois,MVC,,14,18,70.8,70.6,0.25,,2.32,,6.86,-5.06,1.80,,,
129,Valparaiso,Mid-Cont,,23,10,73.9,68.4,5.55,,-2.66,,-0.21,1.97,1.76,,,
130,Evansville,MVC,,15,15,70.0,66.8,3.13,,-0.36,,-0.92,2.62,1.71,,,
131,Saint Joseph's,A-10 (East),,11,17,66.9,70.8,-3.89,,5.46,,-0.41,1.97,1.56,,,
132,Rider,MAAC,,18,10,70.4,65.9,4.57,,-3.31,,-2.16,3.42,1.26,,,
133,Arkansas State,Sun Belt,,20,9,74.8,70.5,4.31,,-3.09,,2.46,-1.24,1.22,,,
134,Louisiana State,SEC (West),,9,18,62.2,65.4,-3.15,,6.20,,-8.37,9.45,1.08,,,
135,Wichita State,MVC,,16,15,63.5,64.5,-0.94,,1.89,,-6.36,7.32,0.95,,,
136,Nevada,Big West (East),,16,12,77.0,75.7,1.32,,0.69,,6.28,-5.51,0.77,,,
137,Iowa State,Big 12,,12,18,63.7,67.7,-4.03,,6.01,,-6.36,7.12,0.76,,,
138,UTEP,WAC (Mountain),,12,14,64.2,65.8,-1.54,,2.99,,-4.69,5.26,0.57,,,
139,Niagara,MAAC,,14,13,72.3,70.4,1.93,,-1.42,,0.28,0.23,0.51,,,
140,UNC Wilmington,CAA,,20,11,61.9,61.5,0.48,,-0.08,,-6.56,6.97,0.40,,,
141,Oral Roberts,Mid-Cont,,19,12,80.2,72.1,8.10,,-4.93,,5.62,-5.27,0.35,,,
142,Siena,MAAC,,17,12,83.3,80.1,3.24,,-2.95,,11.53,-11.24,0.29,,,
143,Texas A&M,Big 12,,7,20,75.0,77.4,-2.33,,2.37,,4.25,-4.21,0.04,,,
144,Boston University,AEC,,19,11,70.0,67.5,2.50,,-2.53,,-2.17,2.14,-0.03,,,
145,Brigham Young,WAC (Mountain),,9,21,63.5,69.8,-6.23,,6.12,,-1.36,1.25,-0.11,,,
146,Weber State,Big Sky,,14,13,72.5,71.3,1.19,,-1.10,,0.26,-0.45,-0.19,,,
147,Louisiana,Sun Belt,,18,13,75.4,73.5,1.81,,-1.44,,4.30,-4.58,-0.28,,,
148,Duquesne,A-10 (West),,11,19,72.4,77.7,-5.23,,4.66,,4.02,-4.60,-0.57,,,
149,Pennsylvania,Ivy,,17,12,71.7,69.3,2.45,,-2.89,,1.95,-2.63,-0.68,,,
150,Davidson,Southern (North),,20,10,71.3,66.2,5.03,,-3.74,,-2.05,1.34,-0.71,,,
151,New Orleans,Sun Belt,,15,12,69.3,67.1,2.11,,-2.98,,-2.45,1.59,-0.87,,,
152,Northern Iowa,MVC,,10,17,69.2,70.4,-1.15,,0.17,,-1.19,0.21,-0.98,,,
153,San Diego State,WAC (Pacific),,13,15,69.3,73.2,-3.96,,3.44,,-0.46,-0.59,-1.04,,,
154,San Diego,WCC,,14,14,70.5,70.7,-0.21,,0.56,,-2.53,1.24,-1.29,,,
155,Cal State Northridge,Big Sky,,12,16,84.1,80.1,4.07,,-3.27,,9.65,-11.00,-1.35,,,
156,Louisiana Tech,Sun Belt,,12,15,68.5,67.1,1.41,,-2.81,,-3.76,2.36,-1.41,,,
157,Hofstra,AEC,,19,12,73.7,70.3,3.42,,-4.48,,0.42,-2.21,-1.79,,,
158,Middle Tennessee,OVC,,19,9,70.9,63.6,7.25,,-6.59,,-3.09,1.30,-1.80,,,
159,Delaware,AEC,,20,10,73.0,70.4,2.67,,-3.42,,-0.34,-1.59,-1.92,,,
160,Youngstown State,Mid-Cont,,20,9,72.3,64.6,7.79,,-7.66,,-5.51,3.59,-1.92,,,
161,Rice,WAC (Pacific),,6,22,63.3,70.1,-6.79,,5.86,,-6.46,4.47,-1.99,,,
162,Coppin State,MEAC,,21,8,77.6,69.7,7.90,,-10.28,,1.36,-3.75,-2.39,,,
163,DePaul,CUSA (American),,7,23,59.2,68.8,-9.53,,7.50,,-6.07,3.64,-2.43,,,
164,Cleveland State,MW Coll,,12,15,64.6,70.5,-5.96,,3.27,,-2.13,-0.49,-2.62,,,
165,Vermont,AEC,,16,11,74.3,69.8,4.48,,-6.79,,0.16,-2.83,-2.67,,,
166,Saint Mary's (CA),WCC,,11,15,75.2,79.2,-3.96,,1.60,,3.42,-6.10,-2.68,,,
167,Old Dominion,CAA,,12,16,62.1,64.1,-2.04,,-0.67,,-7.48,4.77,-2.71,,,
168,Fairfield,MAAC,,12,15,70.2,71.3,-1.04,,-1.83,,-2.15,-0.71,-2.86,,,
169,Marshall,MAC (East),,11,16,69.7,69.4,0.26,,0.62,,-3.96,0.98,-2.98,,,
170,La Salle,A-10 (West),,9,18,71.4,78.2,-6.78,,3.77,,2.11,-5.12,-3.01,,,
171,Appalachian State,Southern (North),,21,8,72.0,66.1,5.93,,-5.82,,-2.78,-0.31,-3.09,,,
172,Canisius,MAAC,,13,14,68.3,70.9,-2.63,,-0.49,,-4.16,1.04,-3.12,,,
173,Bowling Green State,MAC (East),,10,16,68.3,71.4,-3.08,,0.96,,-2.51,-0.69,-3.20,,,
174,Loyola (MD),MAAC,,12,16,76.5,79.2,-2.64,,-0.56,,5.55,-8.75,-3.20,,,
175,East Carolina,CAA,,10,17,67.4,68.0,-0.52,,-1.31,,-2.13,-1.22,-3.35,,,
176,Fordham,A-10 (East),,6,21,65.3,72.4,-7.11,,3.73,,-3.79,0.41,-3.39,,,
177,Tulane,CUSA (National),,7,22,66.6,72.4,-5.79,,2.38,,-2.28,-1.13,-3.41,,,
178,Lamar,Sun Belt,,15,14,66.8,66.1,0.69,,-4.16,,-6.07,2.61,-3.47,,,
179,Portland,WCC,,14,13,67.5,67.4,0.04,,0.05,,-6.64,3.13,-3.51,,,
180,Cal State Fullerton,Big West (West),,12,16,73.4,74.5,-1.04,,-0.98,,1.60,-5.13,-3.54,,,
181,Montana,Big Sky,,16,14,68.4,66.4,2.00,,-3.41,,-6.68,3.03,-3.65,,,
182,Kent State,MAC (East),,13,17,69.4,72.3,-2.93,,0.68,,-2.36,-1.40,-3.76,,,
183,Drexel,AEC,,13,15,66.8,67.6,-0.86,,-2.92,,-5.31,1.53,-3.77,,,
