Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
117,Western Kentucky,CUSA,,,19,12,76.0,69.5,6.52,,0.47,,4.25,-0.54,3.71,106.65,100.54,6.11
118,NC State,ACC,,,11,20,73.3,75.8,-2.48,,6.08,,5.80,-2.20,3.60,109.70,103.77,5.92
119,Nebraska,Big Ten,,,10,21,73.4,78.8,-5.35,,8.87,,7.63,-4.12,3.51,106.44,100.44,6.00
120,Southern Illinois,MVC,,,16,15,64.0,61.4,2.68,,1.24,,-5.81,9.15,3.34,102.62,97.18,5.44
121,Rhode Island,A-10,,,14,15,67.0,64.6,2.38,,1.40,,-2.78,6.11,3.33,99.87,94.61,5.26
122,Princeton,Ivy,,,22,5,80.6,69.4,11.15,,-4.44,,5.82,-2.50,3.32,110.53,104.99,5.55
123,Florida Atlantic,CUSA,,,18,13,74.1,67.8,6.26,,-1.44,,2.40,0.73,3.13,106.50,101.24,5.26
124,Utah Valley,WAC,,,19,11,71.2,65.2,6.03,,-0.78,,-1.06,4.03,2.97,101.59,97.30,4.30
125,Missouri,SEC,,,11,20,65.2,70.6,-5.45,,9.50,,-1.15,3.95,2.80,103.42,99.06,4.35
126,Boston College,ACC,,,11,19,66.4,68.5,-2.07,,4.77,,-0.72,3.42,2.70,104.43,99.86,4.57
127,Buffalo,MAC (East),,,19,10,80.3,72.3,8.00,,-2.80,,6.90,-4.33,2.57,106.50,102.97,3.53
128,UC Irvine,Big West,,,15,9,66.1,59.5,6.58,,-0.49,,-5.49,8.05,2.56,98.55,94.56,3.99
129,Ohio,MAC (East),,,23,8,74.3,67.4,6.87,,-3.92,,0.64,1.88,2.51,103.87,99.83,4.04
130,Seattle,WAC,,,23,8,74.8,66.3,8.55,,-3.85,,1.07,1.43,2.50,99.63,96.02,3.61
131,Wofford,Southern,,,19,13,72.6,66.3,6.31,,-1.18,,-1.25,3.63,2.38,106.80,102.40,4.40
132,Georgia Tech,ACC,,,12,19,68.4,70.3,-1.90,,6.00,,0.03,2.34,2.37,100.30,96.68,3.62
133,Liberty,A-Sun,,,22,11,73.4,63.5,9.91,,-3.52,,-0.20,2.54,2.35,105.72,101.10,4.63
134,Abilene Christian,WAC,,,20,9,76.9,66.0,10.97,,-2.91,,2.72,-0.51,2.21,101.14,98.32,2.82
135,Tulsa,AAC,,,10,19,67.5,69.6,-2.03,,4.18,,0.31,1.84,2.15,104.11,100.83,3.29
136,New Mexico,MWC,,,13,18,74.3,75.2,-0.90,,4.86,,7.48,-5.56,1.93,106.39,103.31,3.08
137,Georgetown,Big East,,,6,24,71.3,77.7,-6.40,,8.31,,5.39,-3.48,1.91,106.63,103.59,3.04
138,Hofstra,CAA,,,21,11,77.9,72.9,5.03,,-0.61,,5.49,-3.70,1.79,107.96,104.96,3.00
139,UC Santa Barbara,Big West,,,16,10,74.0,65.6,8.42,,-4.22,,0.72,1.06,1.78,104.52,101.22,3.30
140,Saint Joseph's,A-10,,,11,18,68.0,69.3,-1.28,,2.97,,0.29,1.40,1.69,101.07,98.21,2.86
141,Morehead State,OVC,,,23,11,70.0,63.5,6.50,,-2.87,,-2.82,4.17,1.36,102.21,99.28,2.93
142,South Alabama,Sun Belt,,,19,11,71.4,63.2,8.20,,-2.85,,-0.96,2.18,1.22,102.68,100.37,2.30
143,East Carolina,AAC,,,15,14,69.0,70.8,-1.86,,2.82,,1.32,-0.36,0.96,102.34,100.67,1.67
144,Kent State,MAC (East),,,21,9,71.2,64.1,7.13,,-2.78,,-3.52,4.38,0.86,99.91,98.28,1.63
145,Pittsburgh,ACC,,,11,20,62.0,68.1,-6.10,,6.78,,-4.67,5.35,0.68,100.96,100.35,0.61
146,Georgia,SEC,,,6,25,70.4,78.3,-7.84,,8.47,,5.25,-4.63,0.63,108.54,107.17,1.37
147,Colgate,Patriot,,,22,11,76.1,67.4,8.73,,-6.97,,1.95,-1.39,0.56,106.06,104.51,1.55
148,Hawaii,Big West,,,16,10,69.8,64.3,5.50,,-2.69,,-2.61,3.14,0.52,102.71,101.52,1.20
149,College of Charleston,CAA,,,17,15,78.2,76.4,1.75,,-1.31,,7.25,-6.80,0.44,102.59,101.53,1.06
150,Wagner,NEC,,,21,5,75.7,64.5,11.15,,-8.87,,0.12,0.29,0.41,102.09,100.97,1.12
151,Saint Peter's,MAAC,,,16,11,66.9,62.4,4.48,,-2.81,,-5.37,5.71,0.35,96.83,95.34,1.49
152,Texas State,Sun Belt,,,21,7,70.7,63.1,7.61,,-2.93,,-2.87,3.23,0.35,105.49,104.33,1.16
153,Jacksonville State,A-Sun,,,21,10,73.9,66.8,7.13,,-4.08,,-1.15,1.45,0.30,104.70,103.05,1.64
154,Coastal Carolina,Sun Belt,,,16,13,72.8,65.3,7.52,,-2.08,,-1.39,1.66,0.28,101.12,100.55,0.57
155,Delaware,CAA,,,21,12,74.2,70.3,3.88,,-2.51,,2.07,-1.80,0.27,106.38,105.24,1.14
156,Longwood,Big South,,,26,6,76.3,65.1,11.28,,-6.89,,0.31,-0.08,0.22,105.33,103.83,1.50
157,UTEP,CUSA,,,18,12,69.0,66.6,2.37,,-0.16,,-2.58,2.71,0.13,100.30,99.50,0.80
158,Cal State Long Beach,Big West,,,18,11,74.3,73.1,1.24,,0.97,,4.48,-4.36,0.12,102.71,102.25,0.47
159,Yale,Ivy,,,17,11,72.8,69.3,3.46,,-1.90,,0.31,-0.33,-0.01,99.92,99.35,0.57
160,Oral Roberts,Summit,,,19,12,83.3,74.4,8.90,,-3.84,,7.44,-7.64,-0.20,107.45,107.79,-0.35
161,Montana State,Big Sky,,,24,7,76.7,68.9,7.84,,-5.84,,-0.07,-0.15,-0.22,101.01,100.84,0.17
162,Illinois State,MVC,,,13,20,74.2,74.7,-0.58,,1.29,,4.54,-4.77,-0.23,105.18,104.93,0.25
163,Akron,MAC (East),,,21,9,71.1,62.9,8.20,,-4.88,,-4.39,4.12,-0.27,103.88,103.59,0.29
164,UC Riverside,Big West,,,16,11,66.6,63.6,3.04,,-1.32,,-3.40,3.12,-0.28,99.05,99.05,0.01
165,Drexel,CAA,,,15,14,72.8,70.3,2.55,,-1.90,,-0.59,0.30,-0.30,103.37,103.06,0.31
166,Sam Houston State,WAC,,,18,13,69.1,63.7,5.32,,-0.78,,-4.29,3.94,-0.35,100.00,99.57,0.43
167,Monmouth,MAAC,,,19,12,69.2,67.8,1.39,,-1.85,,-1.57,1.11,-0.46,100.58,101.06,-0.49
168,Cal State Fullerton,Big West,,,18,10,70.5,67.1,3.43,,-2.51,,-0.86,0.39,-0.48,103.28,103.49,-0.21
169,Oregon State,Pac-12,,,3,27,68.2,77.9,-9.70,,8.95,,2.66,-3.41,-0.75,105.97,107.73,-1.76
170,Old Dominion,CUSA,,,13,18,66.5,66.8,-0.26,,0.18,,-4.85,4.10,-0.76,99.86,100.59,-0.72
171,Appalachian State,Sun Belt,,,19,14,66.9,62.6,4.27,,-1.00,,-5.29,4.49,-0.80,99.54,100.17,-0.63
172,Charlotte,CUSA,,,17,13,70.3,71.2,-0.83,,0.02,,-0.06,-0.75,-0.81,105.88,107.12,-1.24
173,Fordham,A-10,,,15,15,66.8,67.1,-0.30,,-0.58,,-4.28,3.41,-0.88,94.44,94.84,-0.40
174,Massachusetts,A-10,,,14,16,75.0,77.8,-2.80,,1.89,,7.56,-8.47,-0.91,109.72,110.72,-1.00
175,Georgia State,Sun Belt,,,18,10,70.6,64.8,5.86,,-2.06,,-1.41,0.42,-0.98,100.04,100.59,-0.55
176,North Dakota State,Summit,,,23,9,75.0,68.5,6.50,,-4.38,,-1.30,0.29,-1.01,101.20,102.54,-1.34
177,Valparaiso,MVC,,,14,18,70.8,70.5,0.22,,1.40,,-0.50,-0.54,-1.03,103.18,104.40,-1.22
178,Southern Utah,Big Sky,,,20,10,78.8,72.7,6.17,,-4.90,,3.35,-4.53,-1.19,103.51,104.76,-1.25
179,Oakland,Horizon,,,20,12,74.4,68.6,5.81,,-3.70,,-0.32,-0.88,-1.20,101.77,103.55,-1.78
180,Portland,WCC,,,18,14,73.9,72.0,1.88,,-0.31,,1.03,-2.31,-1.27,101.73,102.90,-1.18
181,Jacksonville,A-Sun,,,21,9,67.0,58.7,8.23,,-4.84,,-9.57,8.19,-1.38,97.84,98.81,-0.97
182,Loyola Marymount,WCC,,,11,18,69.3,74.1,-4.76,,3.72,,0.58,-2.04,-1.46,105.85,108.12,-2.27
183,Winthrop,Big South,,,23,9,75.2,70.2,5.03,,-3.54,,2.64,-4.11,-1.47,104.91,106.40,-1.49
184,Weber State,Big Sky,,,20,11,76.7,70.8,5.97,,-4.90,,2.28,-3.77,-1.49,102.71,104.65,-1.94
185,VMI,Southern,,,16,15,79.1,73.6,5.45,,-1.70,,5.71,-7.30,-1.59,108.34,109.92,-1.58
186,Cleveland State,Horizon,,,20,10,75.6,69.9,5.73,,-5.93,,2.33,-4.11,-1.78,102.90,105.53,-2.63
